Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
542,,39,Iron Ore Canada Southern Operations,Iron Ore,Minerals,Canada,49,37,30,17,Water Fowl Gathering Area,Batture des Plages Water Fowl Gathering Area,,,
543,,39,Iron Ore Canada Southern Operations,Iron Ore,Minerals,Canada,49,37,30,17,Water Fowl Gathering Area,Baie des Septs ÃÂles 1 Water Fowl Gathering Area,,,
544,,39,Iron Ore Canada Southern Operations,Iron Ore,Minerals,Canada,49,37,30,17,Water Fowl Gathering Area,Batture de la Baie de Moisie Water Fowl Gathering Area,,,
545,,39,Iron Ore Canada Southern Operations,Iron Ore,Minerals,Canada,49,37,30,17,Water Fowl Gathering Area,Baie des Sept ÃÂles 5 Water Fowl Gathering Area,,,
546,,39,Iron Ore Canada Southern Operations,Iron Ore,Minerals,Canada,49,37,30,17,Water Fowl Gathering Area,Baie des Sept ÃÂles 4 Water Fowl Gathering Area,,,
547,,40,Cape Lambert,Iron Ore,Iron Ore,Australia,36,51,27,15,Nature Reserve,Unnamed WA36913,,,
548,,40,Cape Lambert,Iron Ore,Iron Ore,Australia,36,51,27,15,Australian Marine Park,Dampier - IUCN VI,,,
549,,40,Cape Lambert,Iron Ore,Iron Ore,Australia,36,51,27,15,Australian Marine Park,Dampier - IUCN II,,,
550,,40,Cape Lambert,Iron Ore,Iron Ore,Australia,36,51,27,15,Australian Marine Park,Dampier - IUCN IV,,,
551,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,Biological Refuge,02352R029 Biological Refuge,,,
552,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,Biological Refuge,02352R030 Biological Refuge,,,
553,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,Biological Refuge,02352R026 Biological Refuge,,,
554,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,Biological Refuge,02352R028 Biological Refuge,,,
555,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,Biological Refuge,02351R065 Biological Refuge,,,
556,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,Ecological Reserve,Victor-A.-Huard Ecological Reserve,,,
557,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,Heronry,Lac des ÃÂlets Heronry,,,
558,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,Heronry,ÃÂle Verte (Lac Kenogami) Heronry,,,
559,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,Muskrat Habitat,Lac Coupau Muskrat Habitat,,,
560,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,Natural Area Under Private Stewardship,BoisÃÂ© Verdone Natural Area Under Private Stewardship,,,
561,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,Recognized Nature Reserve,Monts-et-Merveilles Nature Reserve,,,
562,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,Water Fowl Gathering Area,Grande Baie Water Fowl Gathering Area,,,
563,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,Water Fowl Gathering Area,Battures du Cap Saint-FranÃÂ«ois Water Fowl Gathering Area,,,
564,,41,Laterriere,Aluminium,Aluminium,Canada,41,24,41,45,White-Tailed Deer Yard,Lac McDonald White-Tailed Deer Yard,,,
565,,42,Vaudreuil,Aluminium,Aluminium,Canada,43,26,43,47,Biological Refuge,02352R029 Biological Refuge,,,
