Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
51,,The Way We Work,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-The-way-we-work-EN.pdf,,,,
52,,Transparency statement,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Transparency-statement.pdf,,,,
53,,UN Global Compact - Communication on Progress,unglobalcompact.org/what-is-gc/participants/8013-Rio-Tinto-plc#cop,,,,
54,,Underground safety standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Underground-standard.pdf,,,,
55,,Vector-borne and infectious disease control standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Disease-control-standard.pdf,,,,
56,,Vehicles and driving standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Vehicles-driving-standard.pdf,,,,
57,,Voluntary Principles on Security and Human Rights report,riotinto.com/-/media/content/documents/sustainability/human-rights/rt-vpshr-report-2022.pdf,,,,
58,,Water quality protection and water management standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Water-quality-protection-standard.pdf,,,,
59,,Why agreements matter,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Why-agreements-matter.pdf,,,,
60,,Why cultural heritage matters guide,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Why-cultural-heritage-matters.pdf,,,,
61,,Why gender matters guide,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Why-gender-matters.pdf,,,,
62,,Why human rights matter guide,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Why-human-rights-matter-EN.pdf,,,,
63,,Working at heights standard,riotinto.com/-/media/Content/Documents/Sustainability/Corporate-policies/RT-Working-at-heights-standard.pdf,,,,
