Unnamed: 0,Unnamed: 0.1,Planet Positive,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
0,,Last Updated:,,2023-09-14 00:00:00,,,,,,,,,,,
1,,"For further information on performance, please refer to the appropriate Sustainability Review and corresponding supplementary documentation",,,,,,,,,,,,,
2,,We have divested companies' figures up until their divestment for transparency purposes in each table below,,,,,,,,,,,,,
3,,Contents:,,,,,,,,,,,,,
5,,Resources,,,,,Energy & Emissions,,,,,,,,
6,,Wood,,,,,Kilotonnes (kt) of CO2-e and Terajoules (TJ) of Energy (Scope 1 and 2),,,,,,,,
7,,Wood purchased for manufacture and repair of pallets,,,,,MWh of energy (Scope 1 and 2),,,,,,,,
8,,Volume of wood Chain of custody (CoC) certified for the year (%),,,,,Gigajoules of Renewable Energy (Scope 1 and 2),,,,,,,,
9,,Volume of wood certified sources for the year (%),,,,,Emissions intensity (kg per unit),,,,,,,,
10,,Volume of wood Policy compliant for the year (%),,,,,GHG generation by source (%),,,,,,,,
11,,Wood volume (m3) with Chain of Custody (CoC) certification,,,,,Science Based Targets Scope 3 Emissions (kt-CO2e),,,,,,,,
12,,Wood volume (m3) from certified sources (not including CoC),,,,,Carbon Neutrality,,,,,,,,
13,,Wood volume (m3) Policy Compliant,,,,,Offset Credits Purchased - Used towards Carbon Neutral Pallets,,,,,,,,
14,,Wood volume by continent of origin (%),,,,,Renewable Energy Certificate Credits Purchased towards Scope 2 Carbon Neutrality,,,,,,,,
15,,Reforestation/Afforestation,,,,,Carbon Credit Offsets Purchased - towards Scope 1 Carbon Neutrality,,,,,,,,
16,,Plastic,,,,,Outputs,,,,,,,,
17,,Detergent & Palm Oil,,,,,Waste Disposed (metric tonnes),,,,,,,,
18,,Litres of detergent purchased for product washing,,,,,Wood reclaimed (Pallets) (metric tonnes),,,,,,,,
19,,Palm Oil Content,,,,,Footnotes,,,,,,,,
20,,Water,,,,,,,,,,,,,
21,,"Water consumed, recycled and discharged (megalitres)",,,,,,,,,,,,,
22,,"Water consumed, recycled and discharged (million cubic litres)",,,,,,,,,,,,,
23,,Volume of water consumed in areas of Water Stress,,,,,,,,,,,,,
25,,Resources,,,,,,,,,,,,,
27,,Wood,,,,,,,,,,,,,
28,Wood purchased for manufacture and repair of pallets,,,,,,,,,,,,,,
29,,Volume of wood (m3),FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
30,,Americas,1783735.60824,1891360,1685564,1566937,1552330,1552330,,,,,,,
31,,EMEA,1298893.98721,1481566,1322489,1390865,1473414,1473414,,,,,,,
32,,Asia-Pacific,199803.35318,201266,140192,135442,141587,141587,,,,,,,
33,,Total,3282432.948631,3574192,3148245,3093244,3167331,3167331,,,,,,,
35,Volume of wood Chain of custody (CoC) certified for the year (%),,,,,,,,,,,,,,
36,,Regional Split,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
37,,Americas,0.529,0.4798,0.43,0.2908,0.2647,0.2647,,,,,,,
38,,EMEA,0.9737,0.98587,0.9806,0.9719,0.9672,0.9672,,,,,,,
39,,Asia-Pacific,0.8691,0.9855,0.983,0.9653,0.9613,0.9613,,,,,,,
40,,Total,0.726141,0.7121,0.686,0.6266,0.6227,0.6227,,,,,,,
42,Volume of wood certified sources for the year (%),,,,,,,,,,,,,,
43,,Regional Split,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
44,,Americas,1,1,1,1,0.997,0.997,,,,,,,
45,,EMEA,1,1,1,1,0.9971,0.9971,,,,,,,
46,,Asia-Pacific,1,1,1,1,1,1,,,,,,,
47,,Total,1,1,1,1,0.9972,0.9972,,,,,,,
49,Volume of wood Policy compliant for the year (%),,,,,,,,,,,,,,
50,,Regional Split,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
51,,Americas,0,0,0,0,0.003,0.003,,,,,,,
52,,EMEA,0,0,0,0,0.0029,0.0029,,,,,,,
53,,Asia-Pacific,0,0,0,0,0,0,,,,,,,
54,,Total,0,0,0,0,0.0028,0.0028,,,,,,,
56,Wood volume (m3) with Chain of Custody (CoC) certification,,,,,,,,,,,,,,
57,,Regional Split,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
58,,Americas,945174.160988,907489,724512,455602,410939,410939,,,,,,,
59,,EMEA,1264679.929219,1460632,1296782,1351770,1425098,1425098,,,,,,,
60,,Asia-Pacific,173654.465718,198338,137823,130746,136106,136106,,,,,,,
61,,Total,2383508.555925,2566459,2159117,1938118,1972143,1972143,,,,,,,
63,Wood volume (m3) from certified sources (not including CoC),,,,,,,,,,,,,,
64,,Regional Split,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
65,,Americas,838561.447253,983871,961052,1111335,1136731,1136731,,,,,,,
66,,EMEA,34214.057991,20934,25707,39095,44009,44009,,,,,,,
67,,Asia-Pacific,26148.887463,2928,2369,4696,5481,5481,,,,,,,
68,,Total,898924.392706,1007733,989128,1155126,1186221,1186221,,,,,,,
70,Wood volume (m3) Policy Compliant,,,,,,,,,,,,,,
71,,Regional Split,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
72,,Americas,0,0,0,0,4660,4660,,,,,,,
73,,EMEA,0,0,0,0,4307,4307,,,,,,,
74,,Asia-Pacific,0,0,0,0,0,0,,,,,,,
75,,Total,0,0,0,0,8967,8967,,,,,,,
77,Wood volume by continent of origin (%),,,,,,,,,,,,,,
78,,Regional Split,FY23,FY21,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
79,,Europe,0.3736,0.404,0.4,0.419,0.4341,0.4341,,,,,,,
80,,Australia/ New Zealand,0.0143,0.036,0.0294,0.034,0.034,0.034,,,,,,,
81,,South America,0.3772,0.321,0.326,0.314,0.3184,0.3184,,,,,,,
82,,Africa,0.0293,0.027,0.0305,0.038,0.0373,0.0373,,,,,,,
83,,North America,0.2004,0.208,0.2094,0.195,0.1762,0.1762,,,,,,,
84,,Asia,0.0052,0.004,0.0002,0,0,0,,,,,Back to top,,
86,,Reforestation/Afforestation,,,,,,,,,,,,,
88,,Metric,FY23,Cumulative total,FY22,FY21,,,,,,,,,
89,,Number of trees planted through Lumber purchased from Certified Sources,3383951.493434,6897229,3684734,3212495,,,,,,,,,
90,,Enabled the sustainable growth of second tree,3.85M,0,0,0,,,,,,,,,
91,,Number of trees planted through projects,0,106271,39327,66944,,,,,,,,,
92,,CO2 kg Sequested by trees planted through projects,0,36528771,1624790,34903981,,,,,,,Back to top,,
93,,,0,,,,,,,,,,,,
94,,Plastic,,,,,,,,,,,,,
96,Volume of plastic purchased (tonnes),,,,,,,,,,,,,,
97,,Metric,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
98,,Virgin,18974.16896,32028,25986,unavailable,unavailable,unavailable,,,,,,,
99,,Recycled,4814.58486,5194,4621,unavailable,unavailable,unavailable,,,,,,,
100,,Total,23788.75382,37222,23676.4,15107,26174.628,26174.628,,,,,Back to top,,
102,,Detergent & Palm Oil,,,,,,,,,,,,,
104,Litres of detergent purchased for product washing [1],,,,,,,,,,,,,,
105,,Brambles Group,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
106,,Litres,560278.32,627770.3,346394,374698.06,382192,3249513,,,,,,,
108,Palm Oil Content,,,,,,,,,,,,,,
109,,Metric,FY23,FY22,FY21,FY20,FY19 (inc IFCO),FY18 (inc IFCO),,,,,,,
110,,Any Palm Oil contained in washing detergents,No,No,No,No,No,No,,,,,,,
111,,Any uncertified palm oil,,,,,,,,,,,Back to top,,
113,,Water,,,,,,,,,,,,,
115,"Water consumed, recycled and discharged (megalitres)",,,,,,,,,,,,,,
116,,Megalitres,FY23,FY22,FY21,FY20 Rebased,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,
117,,Withdrawal from municipal water supplies or other water utilities,213.96059,271.486839,325.565103,199.634168,201.961069,179.048541,388.543092,,,,,,
118,,Withdrawal from fresh surface water,0,0,0,0,0,0,0,,,,,,
119,,Withdrawal from groundwater,0,0,0,0,0,0,0,,,,,,
