Unnamed: 0,Unnamed: 0.1,Planet Positive,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
197,Gigajoules of Renewable Energy (Scope 1 and 2),,,,,,,,,,,,,,
198,,Product Split,FY23,FY22,FY21,FY20\nRebased,FY20,FY19,,,,,,,
199,,Total energy (renewable & non-renewable),771881,775420,771670,,,,,,,,,,
200,,"Renewable Energy (wind, Solar, biomass, EACs)",237507,364305.06,217666.8,175284,176184,155523.6,,,,,,,
201,,"Renewable Electricity (Purchased, Generated,EACs)",237444,346903.2,213732,170316,173300.4,152629.2,,,,,,,
202,,"Electricity (Normal, Renewable, Generated & EACs)",237444,368168.4,222472.8,241383.6,247662,244756.8,,,,,,,
204,Scope 1+2 Emissions intensity (kg per unit),,,,,,,,,,,,,,
205,,Reported (TEU Intensity) [8],FY23,FY22,FY21,FY20,FY19\n(exc IFCO),FY19\n(inc IFCO),,,,,,,
206,,Group,0.118,0.124,0.14,0.169,0.212,0.275,,,,,,,
208,GHG generation by source (%),,,,,,,,,,,,,,
209,,Source,FY23,FY22,FY21,FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
210,,Electricity,0,0.12,0.29,0.334725,0.44,not available,,,,,,,
211,,Diesel fuel,0.28,0.28,0.2,0.21927,0.21,not available,,,,,,,
212,,Natural gas,0.23,0.24,0.23,0.174544,0.14,not available,,,,,,,
213,,LPG/Propane,0.32,0.28,0.23,0.214568,0.15,not available,,,,,,,
214,,Motor gasoline/Petrol,0.17,0.07,0.05,0.056096,0.06,not available,,,,,,,
215,,Other,0,0,0,0.000797,0,not available,,,,,,,
217,Science Based Targets Scope 3 Emissions (kt-CO2e) [9],,,,,,,,,,,,,,
218,,SBTi Category,FY23,FY22,FY21 [10],FY20,FY19 (exc IFCO),FY19 (inc IFCO),,,,,,,
219,,1. Purchased goods and services,97.871,111.313252,97.374,107.572,not available,not available,,,,,,,
220,,2. Capital goods *,375.778,407.259921,379.702,362.618,not available,not available,,,,,,,
221,,3. Fuel and energy related activities,4.062,4.633454,5.425,4.863,not available,not available,,,,,,,
222,,4. Upstream transportation & distribution *,47.903,24.263945,23.836,21.915,not available,not available,,,,,,,
223,,5. Waste generated in operations *,32.559,38.727286,41.451,43.053,not available,not available,,,,,,,
224,,6. Business travel,6.891,2.745748,0.492,9.158,not available,not available,,,,,,,
225,,7. Employee commuting,2.014,2.0136,2.014,2.014,not available,not available,,,,,,,
226,,9. Downstream transportation & distribution *,810.732,825.037628,863.344,929.15,732.414,732.414,,,,,,,
227,,10. Processing of sold products *,139.481,149.058589,151.19,149.516,242.05,276.176,,,,,,,
228,,Total,1517.291,1565.053423,1564.828,1629.859,732.414,732.414,,,,,,,
229,,SBTi Scope 3 Target Category [11],1406.453,1444.347368,1459.523,1506.252,974.464,1008.59,,,,,Back to top,,
230,,* Included in our validated Science Based Target,,,,,,,,,,,,,
