Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
2,,Targets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Female representation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Count and Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,FY23,FY23 TARGET,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,%,%,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,"Executive management (Bands A, B and C)",,0.385,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,People management (excluding Executive Management):,,0.34,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,Telstra Group Total,,0.352,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,GENERAL WORKFORCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,Table 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Workforce profile1,,,,,,,,,,GRI Standards 2-7,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,GRI Standards 2-8,,,,,,,,,,,,,,,,,,,
18,,,FY23,FY22,FY21,FY20,FY19,% change FY22 - FY23,,,,,,,,,,,,,,,,,,,,,,,
19,,Telstra Group - Direct Headcount 2,30779,29143,27393,not reported,not reported,0.056136979720687645,,,,,,,,,,,,,,,,,,,,,,,
20,,Telstra Group - Indirect Headcount 3,21347,26126,29722,37294,46135,-0.18292122789558293,,,,,,,,,,,,,,,,,,,,,,,
21,,Telstra Group - Full time equivalent (FTE) 4,31761,28889,27015,28959,29769,0.09941500224999135,,,,,,,,,,,,,,,,,,,,,,,
23,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,"1. The Telstra Group (Telstra) refers to Telstra Group and its owned and controlled entities. This includes, but is not limited to, Telstra Limited, Telstra InfraCo, Amplitel and Telstra International. Information regarding the controlled entities in the Telstra Group can be found on our website at telstra.com.au/aboutus/investors/financial-information/financial-results.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,"2. Direct headcount includes all permanent, fixed term, casual, contract and agency labour employees in the Telstra Group and its owned and controlled entities included within our Telstra Group HR System. Diversity data may not be available for some controlled entities due to incomplete records. There are several controlled entities that are not captured within our Telstra Group HR System and so are not included in our direct headcount (e.g. Digicel Pacific, Fetch TV and Pacific Business Solutions). This equates to 6.9% of our direct headcount. Work is underway to include these entities in future disclosures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,3. Indirect headcount includes labour under the direction of outsourced partners who have access to Telstra systems in order to deliver services (e.g. consultants).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"4. Direct full time equivalent (FTE) includes employees (permanent, fixed term, casual and long term leave); contract and agency labour; and controlled entity labour.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,Table 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,"Telstra Group significant geographic locations1,2",,,,,,,,,,GRI Standards 2-7,,,,,,,,,,,,,,,,,,,
31,,Percentage,,,,,,,,,,GRI Standards 2-8,,,,,,,,,,,,,,,,,,,
32,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
33,,Australia,86.3,86.1,85.2,84.6,83.9,,,,,,,,,,,,,,,,,,,,,,,,
34,,Permanent full time,70.67,76,75.4,71.1,not reported,,,,,,,,,,,,,,,,,,,,,,,,
35,,Permanent part time,5.48,3.7,3.5,3.1,not reported,,,,,,,,,,,,,,,,,,,,,,,,
36,,Fixed term full time,0.44,0.4,0.6,1.9,not reported,,,,,,,,,,,,,,,,,,,,,,,,
37,,Fixed term part time,0.07,0.1,0.1,0.1,not reported,,,,,,,,,,,,,,,,,,,,,,,,
38,,Casual (non-guaranteed hours),3.24,3.4,2.2,4.8,not reported,,,,,,,,,,,,,,,,,,,,,,,,
39,,Contingent Worker 3,6.4,2.5,3.5,3.6,not reported,,,,,,,,,,,,,,,,,,,,,,,,
40,,Hong Kong,1.2,1.4,1.5,1.7,2.4,,,,,,,,,,,,,,,,,,,,,,,,
41,,Permanent full time,1.19,1.4,1.5,1.7,not reported,,,,,,,,,,,,,,,,,,,,,,,,
42,,Permanent part time,0.01,0,<1,<1,not reported,,,,,,,,,,,,,,,,,,,,,,,,
43,,Fixed term full time,0,0,<1,,not reported,,,,,,,,,,,,,,,,,,,,,,,,
44,,Fixed term part time,0,,,,not reported,,,,,,,,,,,,,,,,,,,,,,,,
45,,Casual (non-guaranteed hours),0,,,,not reported,,,,,,,,,,,,,,,,,,,,,,,,
46,,Contingent Worker,0,,,,not reported,,,,,,,,,,,,,,,,,,,,,,,,
47,,Philippines,4.7,5.3,6,7.8,6.1,,,,,,,,,,,,,,,,,,,,,,,,
48,,Permanent full time,4.7,5.3,6,7.8,not reported,,,,,,,,,,,,,,,,,,,,,,,,
49,,Permanent part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,Fixed term full time,0,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,Fixed term part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,,Casual (non-guaranteed hours),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,,Contingent Worker,0,,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,
54,,India,5.051,4.3,3.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
55,,Permanent full time,4.92,4.2,3.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
56,,Permanent part time,0,0,<1,<1,,,,,,,,,,,,,,,,,,,,,,,,,
57,,Fixed term full time,0.131,0.1,0.1,<1,,,,,,,,,,,,,,,,,,,,,,,,,
58,,Fixed term part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,Casual (non-guaranteed hours),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,Contingent Worker,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,Singapore,0.77,4.3,3.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
62,,Permanent full time,0.77,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,,
63,,Permanent part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,Fixed term full time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,Fixed term part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,Casual (non-guaranteed hours),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,Contingent Worker,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,United Kingdom,0.8,4.3,3.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
69,,Permanent full time,0.76,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,,
70,,Permanent part time,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,Fixed term full time,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,Fixed term part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,Casual (non-guaranteed hours),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,Contingent Worker,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,United States of America,0.39999999999999997,4.3,3.7,2.2,,,,,,,,,,,,,,,,,,,,,,,,,
76,,Permanent full time,0.35,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,,
77,,Permanent part time,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,Fixed term full time,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,Fixed term part time,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,Casual (non-guaranteed hours),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,Contingent Worker,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,Other 4,0.79,2.8,3.5,3.7,7.5,,,,,,,,,,,,,,,,,,,,,,,,
83,,Permanent full time,0.77,2.8,3.3,3.5,not reported,,,,,,,,,,,,,,,,,,,,,,,,
84,,Permanent part time,0.01,0,<1,<1,not reported,,,,,,,,,,,,,,,,,,,,,,,,
85,,Fixed term full time,0.01,0,0.1,0.2,not reported,,,,,,,,,,,,,,,,,,,,,,,,
86,,Fixed term part time,0,,,<1,not reported,,,,,,,,,,,,,,,,,,,,,,,,
87,,Casual (non-guaranteed hours),0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,Contingent Worker,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,,"2. We define significant geographic locations as those with more than 100 employees. Countries with over 100 employees - Australia, Hong Kong, India, Philippines, Singapore, United Kingdom, United States of America",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,,3. We define Contingent Workers as the contract and agency labour employees in Telstra Group and its controlled entities within the Telstra Group HR System that are included in our Direct workforce definition.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,,"4. Other countries are Canada, China, France, Germany, Indonesia, Japan, Republic of Korea, Malaysia, Netherlands, New Zealand, South Africa, Sweden, Taiwan, Thailand and Uanited Arab Emirites.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,Table 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,"Telstra Group global labour risk profile1,2",,,,,,,,,,GRI Standards 2-8,,,,,,,,,,,,,,,,,,,
98,,Headcount,,,,,,,,,,Modern Slavery Act,,,,,,,,,,,,,,,,,,,
99,,,FY23,FY22,FY21,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,Australia,44928,48620,50070,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,India,4048,3381,3517,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,Philippines,1531,1637,1844,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,Hong Kong,527,563,533,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,Singapore,444,428,366,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,UK,283,287,273,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,United States of America,112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,1. Data refers to Telstra Group Direct and Indirect headcount exposure to labour risk by location (with more than 100 employees).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,2. Labour rights risks were calculated based on countriesÃ¢ÂÂ scores in three relevant global indices: the Freedom House Global Freedom Score; the Global Slavery IndexÃ¢ÂÂs analysis of countriesÃ¢ÂÂ vulnerability to modern slavery; and the World BankÃ¢ÂÂs Worldwide Governance Indicators.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,Table 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,"Workforce by employment level1,2",,,,,,,,,,GRI Standards 2-7,,,,,,,,,,,,,,,,,,,
115,,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
117,,"Executive management\n(Bands A, B and C)",0.58,0.6,0.5829867406064484,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,
118,,Middle management \n(Bands 1 and 2),33.8,35.3,34.4,32.643702676762295,35.7,,,,,,,,,,,,,,,,,,,,,,,,
119,,Operational\n(Bands 3 and 4),62.4,62.3,61.4,63.16874622302797,63.7,,,,,,,,,,,,,,,,,,,,,,,,
122,,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,2. For FY23 3.2% of this workforce does not have band data available due to the employment type construct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,Table 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,Workforce by employment type1,,,,,,,,,,GRI Standards 2-7,,,,,,,,,,,,,,,,,,,
129,,Percentage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
131,,Permanent full time,84.16999999999999,89.7,95.4,94.2,93.06842480399145,,,,,,,,,,,,,,,,,,,,,,,,
132,,Male,56.75,61.5,66.3,65.71162357325879,69.08410548823949,,,,,,,,,,,,,,,,,,,,,,,,
133,,Female,27.1,27.8,28.5,27.863188135724826,23.98431931575196,,,,,,,,,,,,,,,,,,,,,,,,
134,,Another option,0.07,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
135,,Not self-disclosed 2,0.25,0.40000000000000213,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
136,,Permanent part time,5.54,3.7,3.7,3.5,4.410192444761226,,,,,,,,,,,,,,,,,,,,,,,,
137,,Male,1.89,0.9,0.8,0.6677537075859927,0.792943692088382,,,,,,,,,,,,,,,,,,,,,,,,
138,,Female,3.58,2.8,2.9,2.7719543442813883,3.617248752672844,,,,,,,,,,,,,,,,,,,,,,,,
