Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
262,,2. Internal hires include all employees hired within Telstra. Hiring Manager has approval for Internal recruitment only (advertised internally to existing Telstra employees/contractors only).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,"3. Some of our workforce have selected to not self-disclose their gender, meaning that gender records may not be truly reflective of the diversity of our workforce.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,Table 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,,"Total turnover1,2,3",,,,,,,,,,GRI Standards 401-1,,,,,,,,,,,,,,,,,,,
268,,,FY23,FY22,FY21,FY20,FY19,,,,,,,,,,,,,,,,,,,,,,,,
269,,Headcount,3924,3737,4432,3926,6432,,,,,,,,,,,,,,,,,,,,,,,,
270,,Permanent,3754,2822,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
271,,Fixed term,170,164,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
272,,Voluntary,2935,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
273,,Involuntary,989,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
274,,Rate (%),0.12748952207674064,0.133008257403189,0.17808494394663882,0.15241866604550042,0.21463609970968064,,,,,,,,,,,,,,,,,,,,,,,,
275,,Permanent,0.12196627570746288,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
276,,Fixed term,0.005523246369277754,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
277,,Voluntary,0.09535722408135416,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
278,,Involuntary,0.032132297995386465,not reported,not reported,not reported,not reported,,,,,,,,,,,,,,,,,,,,,,,,
280,,Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,1. Data refers to Telstra Direct headcount as defined above.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,"2. Turnover is the number of employees who leave Telstra including all types of separation, based on HR data.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,"3. Voluntary Separation includes Resignation, Resigned during Performance Management Process, Health Reasons, Personal Reasons, Job Abandonment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,"4. Involuntary Separation includes End of Fixed Term Contract, Dismissal, Redundancy.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,5. Rate (%) refers to the proportion of new hires to total Direct Headcount.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,Table 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,"Turnover by gender and age group and region1,2,3,4",,,,,,,,,,GRI Standards 401-1,,,,,,,,,,,,,,,,,,,
