Unnamed: 0,Unnamed: 0.1,Community,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
1,,Contributions to non-profits by Macquarie employees and the Macquarie Group Foundation in the year ($Am)(1),FY23,FY22,FY21,,Legend,,,,,,,,
2,,,52,44,64,,NR = not reported due to data availability,,,,,,,,
5,,Footnotes:,,,,,,,,,,,,,
6,,(1) Contribution figures comprise Macquarie employeesÃ¢ÂÂ donations and fundraising; Foundation matching support for employeesÃ¢ÂÂ donations and fundraising; Foundation,,,,,,,,,,,,,
7,,donations to commemorate employees attaining 10-year and 25-year anniversaries at Macquarie; Foundation grants to non-profit organisations to recognise 12 months,,,,,,,,,,,,,
8,,of board service by a Macquarie employee; and Macquarie and Foundation grants to community organisations since inception in 1985 to 31 March 2023.,,,,,,,,,,,,,
