Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
0,,Workforce movements,,,,,,,,,
1,,People goal 3,,,,,,,,,
3,,Headcount,Turnover,Parental leave,,,,,,,
7,,Headcount,,,,,,,,,
9,,Headcount by gender & division,,,,,,,,,
10,,,,,,F21,F22,F23,,,
11,,Women,Australian Food,,,75507,81509,77673,,,
12,,,New Zealand Food,,,11090,12451,12311,,,
13,,,Big W,,,12013,12267,11687,,,
14,,,Primary Connect,,,Not reported,Not reported,1794,,,
15,,,Corporate,,,3148,3218,4378,,,
16,,,Australian B2B,,,53,38,610,,,
17,,,Other,,,303,274,200,,,
18,,,Total,,,102114,109757,108653,,,
19,,Men,Australian Food,,,61721,63573,61957,,,
20,,,New Zealand Food,,,8249,8996,8799,,,
21,,,Big W,,,5391,5743,5428,,,
22,,,Primary Connect,,,Not reported,Not reported,7263,,,
23,,,Corporate,,,3284,8309,4843,,,
24,,,Australian B2B,,,65,400,2172,,,
25,,,Other,,,152,153,150,,,
26,,,Total,,,78862,87174,90612,,,
27,,Different term,Australian Food,,,325,722,871,,,
28,,,New Zealand Food,,,Ã¢ÂÂ,Ã¢ÂÂ,1,,,
29,,,Big W,,,47,101,130,,,
30,,,Primary Connect,,,Not reported,Not reported,35,,,
31,,,Corporate,,,20,19,59,,,
32,,,Australian B2B,,,Ã¢ÂÂ,Ã¢ÂÂ,2,,,
33,,,Other,,,Ã¢ÂÂ,Ã¢ÂÂ,1,,,
34,,,Total,,,392,842,1099,,,
35,,Total,,,,181368,197773,200364,,,
37,,Headcount by gender & employement type,,,,,,,,,
38,,,,,,F21,F22,F23,,,
39,,Women,Full-time,,,23152,23328,24105,,,
40,,,Part-time,,,51930,53118,53151,,,
41,,,Casual,,,27032,33311,31397,,,
42,,,Total,,,102114,109757,108653,,,
43,,Men,Full-time,,,26117,25883,27817,,,
44,,,Part-time,,,30397,31889,33222,,,
45,,,Casual,,,22348,29402,29573,,,
46,,,Total,,,78862,87174,90612,,,
47,,Different term,Full-time,,,71,73,130,,,
48,,,Part-time,,,182,297,448,,,
49,,,Casual,,,139,472,521,,,
50,,,Total,,,392,842,1099,,,
51,,Total,,,,181368,197773,200364,,,
53,,Headcount by gender & region,,,,,,,,,
54,,,,,,F21,F22,F23,,,
55,,Women,Australian Capital Territory,,,1273,1346,1270,,,
56,,,New South Wales,,,31669,34272,33926,,,
57,,,Northern Territory,,,910,997,966,,,
58,,,Queensland,,,20315,21675,21469,,,
59,,,South Australia,,,5315,5354,5207,,,
60,,,Tasmania,,,2521,2546,2555,,,
61,,,Victoria,,,19932,21458,21385,,,
62,,,Western Australia,,,8808,9384,9436,,,
63,,,New Zealand,,,11089,12451,12311,,,
64,,,Greater China,,,269,260,117,,,
65,,,Bangladesh,,,6,9,5,,,
66,,,Thailand,,,7,5,6,,,
67,,,Total,,,102114,109757,108653,,,
68,,Men,Australian Capital Territory,,,1391,1672,1695,,,
69,,,New South Wales,,,25215,27719,28868,,,
70,,,Northern Territory,,,732,855,907,,,
