Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
2,,Large-scale Generation Certificates (LGCs),,,,,,,,,,,
4,,LGCs,,,,,,,,,,,
5,,Certificate type,Accreditation code,Fuel source,Generation year,Creation year,Generation state,Registered person ID,Certificate tag,Serial number range,Certificate quantity,,
7,,LGC,SRPVQLA6,Solar,2023,2023,QLD,23834,APAFY23RE100,59374-63161,3788,,
8,,LGC,SRPVQLA6,Solar,2023,2023,QLD,23834,APAFY23RE100,53421-59373,5953,,
9,,LGC,SRPVQLA6,Solar,2023,2023,QLD,23834,APAFY23RE100,50565-53420,2856,,
10,,LGC,SRPVQLA6,Solar,2023,2023,QLD,23834,APAFY23RE100,44162-50564,6403,,
