Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
187,Q1,2104.9543999999996,4785.114600000007,8281.128200000014,,,,6890.069000000007,8281.128200000014,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,90226.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Q2,2114.7578999999996,4542.179199999997,6595.8558,,FY19,,6656.9370999999965,6595.8558,,,,,,,,,,,,,,,,,,,,,,,,,,FY23,Q1,90990.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Q3,2035.1252999999997,4486.838000000012,4291.16280000001,,,,6521.963300000011,4291.16280000001,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,93416.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Q4,1926.1064000000001,4214.069199999997,4643.494400000005,,,,6140.175599999997,4643.494400000005,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,85887.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,FY20,6567.797100000001,14634.162799999996,13340.880400000024,,,,5877.866799999999,5006.316500000016,,,,,,,,,,,,,,,,,,,,,,,,,,,Q4,86134.76999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,Q1,1950.0877000000005,3927.7790999999984,5006.316500000016,,FY20,,5717.550599999997,4852.023800000002,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,,,2087292.4300000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Q2,1927.6783000000003,3789.8722999999964,4852.023800000002,,,,5471.849,2745.7322000000054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Q3,1690.6029999999996,3781.246,2745.7322000000054,,,,4134.693500000002,736.8078999999991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,Q4,999.4281000000001,3135.265400000002,736.8078999999991,,,,4326.845300000003,659.7350999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,FY21,5416.194300000001,12455.042200000004,3194.4023999999977,,FY21,,4491.555100000001,661.9370999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,Q1,1231.0377,3095.8076000000024,659.7350999999999,,,,4515.716599999998,832.9265999999988,,,,,,,,,,,,,,,,,,,,,,,,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,Q2,1360.7100999999998,3130.8450000000016,661.9370999999995,,,,4537.119500000001,1039.8035999999993,,,,,,,,,,,,,,,,,,,,,,,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Q3,1411.0651000000007,3104.6514999999977,832.9265999999988,,,,3774.9662,1959.0814999999998,,,,,,,,,,,,,,,,,,,,,,,,,Data Type,LPG Stationary [L],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Q4,1413.3813999999998,3123.7381000000014,1039.8035999999993,,FY22,,3965.744299999998,1541.6263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,FY22,4678.603499999999,10889.876099999998,7556.369699999996,,,,3833.9206000000013,1735.347299999999,,,,,,,,,,,,,,,,,,,,,,,,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Q1,931.9041999999996,2843.0620000000004,1959.0814999999998,,,,3993.848499999999,2320.314599999997,,,,,,,,,,,,,,,,,,,,,,,,,Units,Financial Year,Quarter,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,Q2,1191.0195999999996,2774.7246999999984,1541.6263,,,,3886.789800000001,3140.211199999998,,,,,,,,,,,,,,,,,,,,,,,,,L,FY21,Q1,10675,,,10.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Q3,1204.5559000000005,2629.3647000000005,1735.347299999999,,FY23,,3774.268799999999,2852.148000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2,8324.4375,,FY21,8.3244375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Q4,1351.1237999999996,2642.7246999999998,2320.314599999997,,,,3753.161000000001,2257.664800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3,6194.1181,,,6.1941181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
