Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83
123,Data Type,Units,Total,,,,"Scope 2, 37%",Working from home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,Business flights [pkm],pkm,10750979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,Customer Complaints Resolved [%],percentage,1200,,,,"Scope 3, 41%",Transmission & distribution losses,2217.283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Diesel Transport post-2004 [L],L,1134434.66,,,,"Scope 3, 41%",Business travel,4300.985699999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Electricity [kWh],kWh,11717712.162299989,,,,"Scope 3, 41%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,Ethanol E10 Transport post-2004 [L],L,80443.42999999998,,,,"Scope 3, 41%",Paper,797.1428,,,,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Natural Gas [GJ],GJ,1658.7956000000001,,,,"Scope 3, 41%",,,,,,,Financial Year,FY23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,Office Paper - Carbon Neutral [kg],kg,11065.979999999998,,,,"Scope 3, 41%",Waste,582.7585000000004,,,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Office Paper [kg],kg,3604.9,,,,"Scope 3, 41%",Refrigerants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Petrol Transport post-2004 [L],L,322710.2800000001,,,,"Scope 3, 41%",Working from home,2863.2689,Check,,,,,,Values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,Print Paper [kg],kg,696983.4210000001,,,,,,10761.438899999997,True,,,,Data Type,Units,Sum of Total Data,Sum of Total GJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,Recycling - Cardboard [t],t,73.42139999999993,,,,,,,,,,,Business flights [pkm],pkm,3479996.2199999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,Recycling - Co-mingle [t],t,79.50540000000005,,,,Australia,22157.153584699998,0.8487054653809323,,,,,Diesel Transport post-2004 [kL],(blank),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,Recycling - Organics [t],t,18.418000000000006,,,,New Zealand,3949.9733,0.15129939479832996,,,,,Electricity [kWh],kWh,4034637.3746999996,14524.695300000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,Recycling - Paper [t],t,85.75949999999972,,,,,,,,,,,LPG Stationary [L],L,322809.60539999994,8296.2069,,,,,,,,,,,,,,,,,Country,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,Rental Car [t CO2e],,11.57,,,,,,,,,,,Office Paper - Carbon Neutral [kg],kg,1259.8719999999998,,,,,,,,,,,,,,,,,,Item Number,(All),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,Taxi Travel [km],km,169090,,,,,,,,,,,Office Paper [kg],kg,436.59000000000003,,,,,,,,,,,,,,,,,,Data Type,(Multiple Items),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,Waste General [t],t,221.6781999999999,,,,Scope,Source,Value,,,,,Personal Vehicles [km],km,121810.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,Water [kL],kL,12102.102799999999,,,,"Scope 1&2, 59%",Refrigerants,207.6326847,,,,,Petrol Transport post-2004 [L],L,356429.49,12189.8885,,,,,,,,,,,,,,,,,Sum of Total Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,Working From Home [kg CO2e],kg CO2e,2563453.2776,,,,"Scope 1&2, 59%",LPG,588.2280999999999,,,,,Print Paper [kg],kg,55493.280000000006,,,,,,,,,,,,,,,,,,Units,Financial Year,Quarter,Total,,,NZ fleet,NZ fuel usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,Grand Total,,27465928.36179999,,,,"Scope 1&2, 59%",Vehicles,4821.283,,,,,Recycling - Cardboard [t],t,57.32240000000002,,,,,,,,,,,,,,,,,,Cars,FY19,Q1,1001,,FY19,1001,133958.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,"Scope 1&2, 59%",Electricity,9728.544199999998,,,,,Recycling - Co-mingle [t],t,17.5292,,,,,,,,,,,,,,,,,,,,Q2,980,,,980,135335.62999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,"Scope 3, 41%",Transmission & distribution losses,2217.283,,,,,Recycling - Organics [t],t,10.1982,,,,,,,,,,,,,,,,,,,,Q3,958,,,958,132815.38999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,Country,Australia,,,,,"Scope 3, 41%",Waste,582.7585000000004,,,,,Recycling - Paper [t],$,,,,,,,,,,,,,,,,,,,,,Q4,956,,,956,131452.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
