Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
156,,408.0,Child Labor,408-01,Operations and suppliers at significant risk for incidents of child labor,,Human Rights Resources and Energy collaborative,,,Wesfarmers,2023.0,"WesCEF continues to be a member of the Human Rights Resources and Energy Collaborative (HRREc) group, with other companies such as Rio Tinto, South32, Alcoa, and BHP. The Group's primary objectives are to work collaboratively to consider wider labour rights issues and apply a human rights risk lens across the sector while identifying and developing good practices for human rights and modern slavery risk management.",,,GRI Index,,,,"Human Rights Resources and Energy collaborative, labour rights issue, human rights risk","8, 16","S, G",,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/wescef/ethical-and-inclusive-sourcing,,,,,,,,,,,,,,
157,,409.0,Forced or Compulsory Labor,409-01,Operations and suppliers ar significant risk for incidents of forced or compulsory labor,,Salient human rights assessment,,,Wesfarmers,2023.0,"In 2021, Wesfarmers undertook a process with an independent human rights adviser to determine its divisions' salient human rights issues. This analysis considered the concept of severity and its parts of scale, scope and irremediability, as elaborated in the Reporting Framework of the UNGP on Business and Human Rights.",,,GRI Index,,,,"Human rights assessment, human rights issue, UNGP","8, 16","S, G",,https://www.wesfarmers.com.au/sustainability/fy2023/our-priorities/ethical-sourcing-and-human-rights,,,,,,,,,,,,,,
158,,410.0,Security Practices,410-01,Security personnel trained in human rights policies or procedures,,,,NO DISCLOSURE,Wesfarmers,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,411.0,Rights of Indigenous Peoples,411-01,Incidents of violations involving rights of indigenous peoples,,,,NO DISCLOSURE,Wesfarmers,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,412.0,Human Rights Assessment,412-01,Operations that have been subject to human rights reviews or impacts assessments,,,,NO DISCLOSURE,Wesfarmers,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Ethical sourcing training,,,Wesfarmers,2023.0,"Training team members is key to increasing alignment with Wesfarmers' minimum standards and reducing non-conformance risk. This year, more than 3,300 hours of training and education were delivered to team members on human rights (as established by the Universal Declaration of Human Rights and other international instruments), ethical sourcing risks and mitigation strategies, and ethical buying practices. Training was also provided to selected supply chain partners throughout the year, including as a component of the rollout of grievance mechanisms at new sites.",,,GRI Index,,,,"Training, non-conformance risk, ethical sourcing risk","8, 16","S, G",,https://www.wesfarmers.com.au/sustainability/fy2023/our-priorities/ethical-sourcing-and-human-rights,,,,,,,,,,,,,,
162,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Mineral Due Diligence and Cotton Transparency training,,,Wesfarmers,2023.0,"Wesfarmers' Blackwood's sourcing teams participated in Mineral Due Diligence and Cotton Transparency training as new sourcing protocols were rolled out. Blackwoods also launched an updated Ethical Sourcing Policy, which was communicated to team members in August 2023, and supplier contracts have updated links.",,,GRI Index,,,,"Mineral Due Diligence and Cotton Transparency training, sourcing protocol, Ethical Sourcing Policy","8, 16","S, G",,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/wesfarmers-industrial-and-safety/Ethical-sourcing,,,,,,,,,,,,,,
163,,412.0,Human Rights Assessment,412-02,Employee training on human rights policies or procedures,,Modern slavery training video,,,Wesfarmers,2023.0,A new animated ethical sourcing and modern slavery training video targeting Kmart Group suppliers and team members was developed. The training video explains Kmart and Target's modern slavery and ethical sourcing risks and how the Kmart Group Ethical Sourcing Program mitigates those risks.,,,GRI Index,,,,"Ethical sourcing, modern slavery training, Ethical Sourcing Program","8, 16","S, G",,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/kmart-group/ethical-sourcing,,,,,,,,,,,,,,
164,,412.0,Human Rights Assessment,412-03,Significant investment agreements and contracts that include human rights clauses or that underwent human rights screening,,,,NO DISCLOSURE,Wesfarmers,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,,NO DISCLOSURE,Wesfarmers,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Telethon Kids Insitute,,Wesfarmers,2023.0,"Wesfarmers' Telethon Kids Institute is now in its 27th year, supporting the Wesfarmers Centre for Vaccines and Infectious Diseases, which leads research to prevent infectious diseases affecting Australian children and families. Among other priorities, current projects include a vaccine to prevent strep throat and rheumatic heart disease, which are highly prevalent in Indigenous communities.",,,,,,,"Telethon Kids Insitute, Centre for Vaccines and Infectious Diseases, vaccine","3, 17",S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-priorities/economic-and-community-contributions,,,,,,,,,,,,,,
167,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Clontarf Foundation,,Wesfarmers,2023.0,"Wesfarmers' support of the Clontarf Foundation is in its twenty-third year, helping to provide education, life skills and employment opportunities for more than 10,000 Aboriginal and Torres Strait Islander boys and young men nationwide. In that time, more than 1,500 young Aboriginal and Torres Strait Islander men attending Clontarf Foundation academies have worked in a Wesfarmers business. During the year, Wesfarmers also supported measures to build awareness within Wesfarmers and across the community about the Uluru Statement from the Heart, including the proposal to establish an Aboriginal and Torres Strait Islander Voice.","More than 1,500 young Aboriginal and Torres Strait Islander men attending Clontarf Foundation academies have worked in a Wesfarmers business.",,,,,,"Clontarf Foundation, education, employment opportunity","4, 8, 17",S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-priorities/economic-and-community-contributions,,,,,,,,,,,,,,
168,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Perth community and arts events,,Wesfarmers,2023.0,"WesCEF's Kleenheat sponsored Perth community and arts events Ã¢ÂÂ the Garden and Outdoor Living Festival, Good Food and Wine Show and Perth Fringe Festival- and donated to Telethon Community Cinemas. Kleenheat also celebrated three years of awarding community grants across regional Western Australia and the Northern Territory, granting $100,000.","Kleenheat also celebrated three years of awarding community grants across regional Western Australia and the Northern Territory, granting $100,000.",,,,,,"Perth community and arts event, Telethon Community Cinemas, community grant","8, 17",S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/wescef/supporting-communities,,,,,,,,,,,,,,
169,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,HockeyWA,,Wesfarmers,2023.0,"WesCEF's Fertilisers continues its advocacy of regional West Australians and sustainable communities through its long-term partnerships with Hockey WA, the Country Women's Association and the Regional Remote Women's Network of WA. Agricultural education has always been a focus of CSBP Fertiliser, with the Nuffield Scholarship program supporting a scholar for two years to travel to study a topic of importance to their agricultural business, industry or community.",,,,,,,"Hockey WA, agricultural education, Nuffield Scholarship","4, 17",S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/wescef/supporting-communities,,,,,,,,,,,,,,
170,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,STEM education,,Wesfarmers,2023.0,"WesCEF continues to support youth, environmental initiatives, science, technology, engineering and mathematics (STEM) education and Aboriginal health and well-being programs in the Kwinana and Rockingham areas, including support of the local Clontarf Academy at Gilmore College for young Aboriginal and Torres Strait Islander students.",,,,,,,"STEM education, Aboriginal health and well-being, Clontarf Academy","4, 17",S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/wescef/supporting-communities,,,,,,,,,,,,,,
171,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Make a Difference Appeal,,Wesfarmers,2023.0,"Wesfarmers' Officeworks raised more than $920,000 in the 2023 financial year, with a further $22,600 raised in July 2023 through its Make a Difference Appeal. Officeworks continues raising funds to respond to its local communities' unique challenges to support 15 nationwide organisations. The fundraising efforts will help to ensure these organisations can continue their work within their local communities and help make a positive difference in the lives of children.","Wesfarmers' Officeworks raised more than $920,000 in the 2023 financial year, with a further $22,600 raised in July 2023 through its Make a Difference Appeal.",,,,,,"Make a Difference Appeal, local community, nationwide organisation",17,S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/officeworks/community-connection,,,,,,,,,,,,,,
172,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,,Angurugu School,,Wesfarmers,2023.0,"The Officeworks Stuart Park team members helped a preschool in the Indigenous community of Angurugu, located 650 kilometres east of the store in the East Arnhem region of the Northern Territory. Angurugu School is the first preschool in the area. It is supported by community Elders and volunteer teachers to enable students to learn about their culture and country in conjunction with early childhood development programs. To support the preschool students throughout the year and to cover the cost of educational materials, Officeworks Stuart Park donated more than $900 worth of educational and arts and crafts supplies to Angurugu School, including puzzles, activity sets, art smocks, paint sets, scrapbooks and wooden musical instruments.",,,,,,,"Angurugu School, childhood development, education material","4, 17",S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/officeworks/community-connection,,,,,,,,,,,,,,
