Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
89,,306.0,Waste,306-02,Management of significant waste-related impacts,,Circonomy,,,Wesfarmers,2023.0,"From December 2022 to February 2023, Officeworks and Circonomy trialled a 10-week furniture repair program. Throughout the trial, Officeworks successfully diverted 5.5 tonnes and 271 furniture items from landfill. Of the stores that took part in the trial, Officeworks saw reduced time and labour costs for dealing with damaged items. 191 pieces were repaired on-site, and 80 were diverted to Circonomy for resale.",,,GRI Index,,,,"Circonomy, furniture repair program, reselling",12,E,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/officeworks/Expanding-our-approach-to-emissions-and-waste,,,,,,,,,,,,,,
90,,306.0,Waste,306-02,Management of significant waste-related impacts,,ACT Logistics,,,Wesfarmers,2023.0,"Wesfarmers' Blackwoods continued its partnership with ACT Logistics in recycling and repurposing e-waste. As orders are raised, the Blackwoods Own-Brand industrial workwear range will transition to recyclable polybags with in-built moisture control properties throughout 2023. These polybags are made from 100 per cent recycled content.",,,GRI Index,,,,"ACT Logistics, e-waste, recyclable polybag",12,E,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/wesfarmers-industrial-and-safety/Waste-and-packaging-WIS,,,,,,,,,,,,,,
91,,306.0,Waste,306-02,Management of significant waste-related impacts,,Waste stream review,,,Wesfarmers,2023.0,"NZ Safety Blackwoods reviewed its waste streams within its trade centres. It introduced soft plastic recycling via its waste management provider in 25 of its 32 sites, with ongoing work to implement a solution in the remaining sites. A waste improvement blueprint is under development for all sites to review their waste pickups to improve waste stream management and reduce costs associated with waste.",,,GRI Index,,,,"Waste stream, trade centre, soft plastic recycling",12,E,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/wesfarmers-industrial-and-safety/Waste-and-packaging-WIS,,,,,,,,,,,,,,
92,,306.0,Waste,306-02,Management of significant waste-related impacts,,Packaging standard,,,Wesfarmers,2023.0,"Wesfarmers' Workwear Group developed a packaging standard for all brands, ensuring no plastic clips or kimble tags, only one swing ticket, a recyclable plastic garment bag, recycled product content, and mandatory recycling instructions for packaging. Workwear Group's packaging standard was finalised in May 2023, and the business commenced implementation in June 2023.",,,GRI Index,,,,"Packaging standard, plastic clip, recyclable plastic garment bag",12,E,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/wesfarmers-industrial-and-safety/Waste-and-packaging-WIS,,,,,,,,,,,,,,
93,,306.0,Waste,306-02,Management of significant waste-related impacts,,Australasian Recycling Label (ARL),,,Wesfarmers,2023.0,"Wesfamers' Bunnings continued to include the Australasian Recycling Label (ARL) on product packaging to help customers dispose of packaging correctly. The ARL was applied to more than 1,000 additional products in the Bunnings range during the year.",,,GRI Index,,,,"Australasian Recycling Label, product packaging, Bunnings",12,E,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/bunnings/circular-economy,,,,,,,,,,,,,,
94,,306.0,Waste,306-02,Management of significant waste-related impacts,,Plastic pot stewardship program,,,Wesfarmers,2023.0,"Bunnings introduced a plastic plant pot stewardship program across selected stores in Australia and New Zealand. The program supports the improvement of plastic packaging recycling by inviting customers to return used plant packaging made from polypropylene plastic, which is difficult for many local recycling facilities to process.",,,GRI Index,,,,"Plastic pot stewardship program, plastic packaging, polypropylene plastic",12,E,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/bunnings/circular-economy,,,,,,,,,,,,,,
95,,306.0,Waste,306-02,Management of significant waste-related impacts,,Circular design training pilot,,,Wesfarmers,2023.0,"In December 2022, Kmart ran a circular design training pilot with its leadership team, led by circular design specialist Dr Clara Vuletich. Leaders were asked to reimagine Kmart products through a circular lens and consider Kmart in terms of the circular design. This session's findings have helped inform a working group that will create a circular design strategy for Kmart.",,,GRI Index,,,,"Circular design training pilot, leadership team, circular design specialist",12,E,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/kmart-group/sustainable-products,,,,,,,,,,,,,,
96,,306.0,Waste,306-03,Waste generated,Wesfarmers generated 191.8 kilotonnes of waste in 2023.,,,,Wesfarmers,2023.0,,,,GRI Index,,,,,,,,https://www.wesfarmers.com.au/docs/default-source/sustainability/sustainability-2023/sustainability-databook-fy23.xlsx?sfvrsn=17e0e1bb_3,,,,,,,,,,,,,,
97,,306.0,Waste,306-04,Waste diverted from disposal,Wesfarmers recovered 137.3 kilotonnes of waste in 2023.,,,,Wesfarmers,2023.0,,,,GRI Index,,,,,,,,https://www.wesfarmers.com.au/docs/default-source/sustainability/sustainability-2023/sustainability-databook-fy23.xlsx?sfvrsn=17e0e1bb_3,,,,,,,,,,,,,,
98,,306.0,Waste,306-05,Waste directed to disposal,Wesfarmers disposed of 54.5 kilotonnes of waste in 2023.,,,,Wesfarmers,2023.0,,,,GRI Index,,,,,,,,https://www.wesfarmers.com.au/docs/default-source/sustainability/sustainability-2023/sustainability-databook-fy23.xlsx?sfvrsn=17e0e1bb_3,,,,,,,,,,,,,,
99,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,,,NO DISCLOSURE,Wesfarmers,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,,,NO DISCLOSURE,Wesfarmers,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,,Responsible Timber Sourcing Survey,,Wesfarmers,2023.0,"Bunnings continued to conduct due diligence to monitor timber supplier performance following its policy. Bunnings' Responsible Timber Sourcing Survey is conducted quarterly by suppliers of new timber, wood or fibre products to Bunnings to capture the timber species, country of harvest, forest type, country of manufacture, applicable timber certification and product claims. It includes component and composite products that have a percentage of timber inputs.",,,,,,,"Responsible Timber Sourcing Survey, due diligence, timber supplier","8, 15, 17","E, G",,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/bunnings/nature-and-biodiversity,,,,,,,,,,,,,,
102,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,,,NO DISCLOSURE,Wesfarmers,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,401.0,Employment,401-01,New employee hires and employee turnover,,Indigenous employment,,,Wesfarmers,2023.0,"During the year, Bunnings continued offering Indigenous employment programs to support Aboriginal and Torres Strait Islander candidates during recruitment and onboarding. A new leadership program was introduced to help Aboriginal and Torres Strait Islander team members develop leadership capabilities. The Transition to Work Program also aims to recruit Aboriginal and Torres Strait Islander people experiencing hardship to transition into permanent and rewarding work at Bunnings.",,,GRI Index,,,,"Indigenous employment, leadership program, leadership capability",8,S,,https://www.wesfarmers.com.au/sustainability/fy2023/our-businesses/bunnings/diversity-and-inclusion,,,,,,,,,,,,,,
