Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50
94,,,Other recycled waste,tonnes,-0.42518871493176913,30.54300000000001,,,53.13570000000003,95.90999999999998,133.976845296804,141.941878540022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,,,Waste per FTE,kg/FTE,-0.09893439720820962,30.01167871980304,,,33.306874246244924,124.35398979079051,197.55907264109393,207.68860551582358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,,,Recycling rate,%,-0.23280017509791895,46.799189319026944,,,61,38,32,39.08495162747548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,,,DNR - Did Not Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,,Potentially to be removed but to be confirmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,,Internal Workings Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,,Emissions profile by scope and category (tCO2-e),,,,,,,,,,,,,,,Workings for Emissions profile by scope and category (tCO2-e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,,,2022 \n%,2021 \n%,,,,,,,,,,,,,,2022.0,2021,2022\n%,2021\n%,,Rounding,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,,Scope 1 - Direct emissions,,38.15157062429928,,,,,,,,,,,,,Scope 1 - Direct emissions,,5732.525299999999,,0.3815157062429928,,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,Scope 2 - Indirect electricity and heat,,7.634126255789919,,,,,,,,,,,,,Scope 2 - Indirect electricity and heat,,1147.378600000009,,0.07634126255789919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,Scope 3 - Category 1: Purchased goods and services,,0.4138007808197193,,,,,,,,,,,,,Scope 3 - Category 1: Purchased goods and services,,62.192600000000006,,0.004138007808197193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,,Scope 3 - Category 2: Capital goods,,0,,,,,,,,,,,,,Scope 3 - Category 2: Capital goods,540.5,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,,,Scope 3 - Category 3: Fuel- and energy-related activities,,28.838725915013143,,,,,,,,,,,,,Scope 3 - Category 3: Fuel- and energy-related activities,,4334.345,,0.2883872591501314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,,Scope 3 - Category 5: Waste generated in operations,,0.7107827467134807,,,,,,,,,,,,,Scope 3 - Category 5: Waste generated in operations,,106.82780000000002,,0.007107827467134807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,,Scope 3 - Category 6: Business travel,,16.690790086799012,,,,,,,,,,,,,Scope 3 - Category 6: Business travel,,2508.5589,,0.16690790086799012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,Scope 3 - Category 7: Employee commuting,,7.570203590565454,,,,,,,,,,,,,Scope 3 - Category 7: Employee commuting,748.0,1137.7712794401884,,0.07570203590565454,0.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,,,Scope 3 - Category 13: Downstream leased assets,,0,,,,,,,,,,,,,Scope 3 - Category 13: Downstream leased assets,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,,Total,,100.01000000000002,,,,,,,,,,,,,Total,,15029.599479440196,,1.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,,Internal Workings Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,,Emissions profile by region (tCO2-e),,,,,,,,,,,,,,,Workings for Emissions profile by scope and category (tCO2-e),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,,,,2022 \n%,2021 \n%,,,,,,,,,,,,,,2022.0,2021,2022\n%,2021\n%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,,,North America,47.86654043289478,49.3589996857186,,,,,,,,,,,-0.1,,North America,14662.0,10706.361311792009,0.4786654043289478,0.49458999685718585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,,,International,16.80303254872515,8.758314386494368,,,,,,,,,,,,,International,5150.0,1895.9072949295999,0.1680303254872515,0.08758314386494367,-0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,,,Australia Pacific,26.355652770069536,35.2,,,,,,,,,,,0.1,,Australia Pacific,8073.0,7614.742298222588,0.2635565277006954,0.3517698739718523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,,,Corporate and other,8.864774248310535,6.60569853060182,,,,,,,,,,,0.1,,Corporate and Other,2746.0,1429.9317744960003,0.08964774248310535,0.06605698530601825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
