Unnamed: 0,Greenhouse gas emissions by activity,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Annualisation factor,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,Reporting period: FY 2022,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,tCO2e,tCO2e,tCO2e,,tCO2e,tCO2e,tCO2e,tCO2e,,,,,,,,,,,,,,,,,,,,,,,
,tCO2e GHG EMISSIONS,Mapped to Support,% Movement,FY 2022,FY 2021,QX 202X,% Movement,1Q 2023,Annualised 2023,FY 2020,FY 2019,,Rounding,,,,,,Data Type,Units,Sum of Total Reporting Amount,Sum of Total CO2e(t),,,,,,,,,,,,
Business travel - air,Business travel - air,Air Travel,6.75,5872.1988,758.1694999999994,,6.75,5872.1988,758.1694999999994,2717.1716,12159.809052028777,,,,93.14020000000001,36.9410521,,Waste,Waste - Landfill [t] - S3,t,789.9399999999997,672.6807999999987,,,Waste - Landfill [t] - S3,Waste,Waste,,Category 6,Business Travel,,,615.5,
Business travel - car hire and taxi,Business travel - car hire and taxi,"Hire Car & Taxi
",0.37,2384.28,1742.3433000000005,,0.37,2384.28,1742.3433000000005,1612.264400000002,2146.1811801568197,,,,738.6029999999986,606.5937999999985,,Waste,Waste - Organic - Food and Drink [t],t,87.01999999999994,54.547700000000006,,,Waste - Organic - Food and Drink [t],Waste,Waste,,Category 6,Business Travel,,,,
Business travel - rail and bus travel,Business travel - rail and bus travel,Road &Rail travel,1,58.6494,9.0461,,5.48,58.6494,9.0461,22.590000000000003,133.33091933123183,,,,,,,,,,,,,,,,,,Category 6,Business Travel,,,,
Work From Home energy - electricity and gas,Work From Home energy - electricity and gas,Working from Home [t CO2e],-0.31,2556.727068400006,3694.9998,,-0.31,2556.727068400006,3694.9998,3173.7571446374254,DNR,,,2019-2018 paper restated emissions,107.5140000000001,72.43442963450161,,Waste,Waste Recycled - Cardboard [t] Scope 3,t,437.6399999999998,9.329999999999979,,,Waste Recycled - Cardboard [t] Scope 3,Waste,Waste,,Category 3,Fuel and Energy related activities,,,,
Employees commuting,Employees commuting,,1.63,2991.93612737,1138,,1.63,2991.93612737,1137.7712794401884,DNR,DNR,,,2019-2018 waste restated emissions,,,,Waste,Waste Recycled - Commingled [t] - Scope 3,t,64.00999999999995,1.3632999999999982,,,Waste Recycled - Commingled [t] - Scope 3,Waste,Waste,,Category 7,Employee Commuting,,,,
Office paper purchased,Office paper purchased,Paper Purchased,-0.1,56.19914790000001,62.192600000000006,,-0.1,56.19914790000001,62.192600000000006,93.14020000000001,211.33852553108696,,,,,,,Waste,Waste Recycled - Electronic [t],t,31.90000000000003,0.6812000000000002,,,Waste Recycled - Electronic [t],Waste,Waste,,Category 1,Purchase goods and services,,,,
Waste - recycled and landfill,Waste - recycled and landfill,Waste,0.55,132.00920000000002,84.94340000000004,,0.55,132.00920000000002,84.94340000000004,738.6029999999986,1001.8107400883022,,,,,,,Water,Water [kL] - scope 3,kL,102198.06999999999,107.5140000000001,,,Water [kL] - scope 3,Water,Water,,Category 5,Waste generated in operations,,,,
Water,Water,Water,0.6,35.079570365498476,21.884399999999992,,0.6,35.079570365498476,21.884399999999992,107.6476040000001,191.99228857626267,,,,,,,,Grand Total,,73883385.68,21031.83840000003,,,Diesel [L] - Scope 1,Company Vehicles,Company Vehicles,,Category 5,Waste generated in operations,,,,
Energy leased assets,Energy - leased assets,Energy leased assets,1,483.4051087071267,0,,1,483.4051087071267,DNR,DNR,DNR,,,,,,,,,,,,,,,,,,Category 13,Downsteam leased assets,,,,
,Capital goods,,1,2160.8493059738494,,,1,2160.8493059738494,DNR,DNR,DNR,,,,,,,,,,,,,,,,,,Category 2,Capital goods,,,,
,Total of selected Scope 3,,1.4,19594.525988716483,8149.6759,,1.4,19594.525988716483,8149.447179440189,9487.75304863743,17118.4506075582,0,-1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0,0,,,,,,,,,,REC purchased,-6616.0184999999965,,,,,,,,,,,,
,"Total GHG emissions (Scope 1, Scope 2 and Selected 3 emissions)",,0.82,27327.07253328814,15029.828200000009,0,0.82,27327.07253328814,15029.599479440198,15369.3795320768,29890.4851349782,0,0,,,,,,,,WFH,2556.727068400006,,,,,,,,,,,,
,Carbon offsets,,,-27327.07253328814,-15029.828200000009,,,-27327.07253328814,-15029.599479440198,-15369.37953207676,-29890.485134978248,,,,,,,,,,,16972.546968400038,,,,,,,,,,,,
,Net GHG emissions (carbon neutral),,,0,0,,,0,0,4.001776687800884e-11,-4.729372449219227e-11,,,,,,,,,,,-10354.525564888103,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[1] Part of our ongoing data improvement, we are reporting the emissions related to externally hosted data centres in 2021 where they are being utilised in some part of our global operations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,[2]: Estimated emissions relating to energy use by our employees while working from home during COVID-19 lockdowns.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"[3] Part of our ongoing data improvement, we are reporting the emissions related to employees commuting for the first time in 2021.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26627.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Emissions profile by region (tCO2-e) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2022-12-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia Pacific,6286,906,718,162,,Total CO2-e(t),,,,,,,WFH,,,,,,,,,,,,,,,,,,,,
Australia Pacific,Corporate,1734,340,406,162,,8073,0.26356513222331046,,,,,,2021,,,,,,,,,,,,,,,,,,,,
Corporate and Other,Equator Re,91,5,4,4,,2641,0.08622265752530199,,,,,,,,,,,,,,,,,,,,,,,,,,
Equator Re,International,4011,488,555,96,,105,0.0034280117531831538,,,,,,,,,,,,,,,,,,,,,,,,,,
International,North America,11338,1253,477,1594,,5150,0.16813581456088803,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,,23460,2992,2161,2018,,14662,0.47868103166829906,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, RECs ,,30630,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,-3303,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Check,,27327,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Check,,1,,,,,L:\Group\Finance\ESG Reporting\2022\2022 GHG Data Consolidation\2022_Q4\Employee commuting estimates Dec 2022_v2.2.xlsx,,,,,,,,,,,,,,,,,,,,,,
,Row Labels,Sum of Total CO2e(t),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Australia Pacific,6286.166719741853,,,,,,Source: Employees commuting 2022,,,,,,,,,,,,,,,,,,,,,,,,,,
,Corporate,1733.587001344186,,,,,,Region,Emissions tCO2e,,,,,,,,,,,,,,,,,,,,,,,,,
,Equator Re,91.4758943875633,,,,,,Australia Pacific,906,,,,,,,,,,,,,,,,,,,,,,,,,
,International,3750.4588854256117,,,,,,Equator Re,5,,,,,,,,,,,,,,,,,,,,,,,,,
,North America,11252.868151486215,,,,,,Corporate and Other,340,,,,,,,,,,,,,,,,,,,,,,,,,
,Grand Total,23114.55665238543,,,,,,International,488,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,North America,1253,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2992,,,L:\Group\Finance\ESG Reporting\2022\2022 GHG Data Consolidation\2022_Q4\Capital goods estimates -Dec 2022_v3.xlsx,,,,,,,,,,,,,,,,,,,,,,
