Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),Linkage to other GRI disclosure,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
136,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,The Voice workshop,,,Endeavour,2023.0,"In May, Endeavour hosted a voluntary education workshop on The Voice with Thomas Mayo, a Kaurareg Aboriginal and Kalkalgal, Erubamle Torres Strait Islander man from Larrakia Country who is on the Government's First Nations Referendum Working Group. More than 100 of Endeavour's team attended the workshop on Gadigal Country in Redfern to understand more about constitutional recognition, The Voice proposal, and the practical change it would have in addressing real community challenges.",,,86,50,,,"Education workshop, The Voice, constitutional recognition","10, 17",S,,,,,,,,,,,,,,,,
137,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,National Reconciliation Week,,,Endeavour,2023.0,Endeavour encouraged its team members to continue their reconciliation journey during National Reconciliation Week in May. Teams nationwide were invited to participate in a virtual panel on reconciliation. Endeavour also held information sessions about secondment opportunities with Jawun and offered team members a chance to attend a live and interactive yarning learning webinar.,,,86,50,,,"National Reconciliation Week, reconciliation journey, secondment opportunity","10, 17",S,,,,,,,,,,,,,,,,
138,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Jawun,,,Endeavour,2023.0,"Since 2013, Endeavour's partnership with the Jawun Indigenous Community Program has offered more than 35 team members opportunities to share their skills and experience with and listen and learn from 20 Indigenous community organisations across Australia. Neil Cairns, Store Manager at Dan Murphy's Mosman, NSW, recently completed a six-week secondment with Gudjagang Ngara Li-dhi (GNL), an Indigenous organisation based in Darkinjung Country on the NSW Central Coast. GNL's programs focus on supporting vulnerable Indigenous children, young people and families in the local area through early intervention and prevention services and specialised casework.",,,86,51,,,"Jawun, secondment, Indigenous child","10, 17",S,,,,,,,,,,,,,,,,
139,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Reflect Reconciliation Action Plan,,,Endeavour,2023.0,"In October 2022, Endeavour launched its Reflect Reconciliation Action Plan, created in open dialogue with Reconciliation Australia and its First Nations team members. It sets the foundations for improving cultural competency and inclusion across Endeavour's business. Endeavour has built trust, respect and relationships with Indigenous communities and organisations.",,,86,,37,,"Reflect Reconciliation Action Plan, Reconciliation Australia, First Nations","10, 17",S,,,,,,,,,,,,,,,,
140,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Let's Talk About Moderation,,,Endeavour,2023.0,"In December 2022, Endeavour partnered with Yaandina Community Services in Roebourne, WA, to host a specially created community event in Karratha: 'Let's Talk About Moderation'. The event is designed to promote moderation in the Pilbara while learning from and connecting with experts in the Alcohol and Other Drugs services space. It attracted 30 regional leaders, including mental health experts and community groups. The event featured interactive, informative discussions about the principles of safe drinking while showcasing the growing range of low and no-alcohol products available in BWS Karratha.",,,86,27,,,"Let's Talk About Moderation, community event, Yaandina","10, 17",S,,,,,,,,,,,,,,,,
141,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,"Always respect, always DrinkWise",,,Endeavour,2023.0,"Endeavour is proud to be one of the major supporters of 'Always respect, always DrinkWise' during the 2023 State of Origin Series. The campaign focused on encouraging moderation and promoting respect for each other during major sporting events and had the support of various State Governments and Police Services.",,,86,27,,,"Always respect, always DrinkWise, State of Origin series, moderation",17,S,,,,,,,,,,,,,,,,
142,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Plan B,,,Endeavour,2023.0,"In F23, Endeavour supported the NSW Government's 'Plan B' awareness campaign over Christmas, New Year, and the ANZAC Day long weekend. The campaign encourages drivers to make good choices to get home safely after drinking. Endeavour is uniquely placed to communicate targeted safety messages, as in many cases, its customers are driving to and from its stores to make purchases.",,,86,30,,,"Plan B, NSW Government, safety message",17,S,,,,,,,,,,,,,,,,
143,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Schoolies,,,Endeavour,2023.0,Endeavour worked with DrinkWise to support Schoolies-targeted responsible consumption campaigns and led initiatives to deter underage drinking during the November-December Schoolies period. The initiative was driven by Endeavour's purpose and commitment to help people enjoy pleasant moments responsibly.,,,86,30,,,"Schoolies, DrinkWise, underage drinking",17,S,,,,,,,,,,,,,,,,
144,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Youth centre feasibility study,,,Endeavour,2023.0,"Endeavour is supporting the development of a feasibility study to create a new Youth Centre for the Bagot Community outside Darwin. The project involves local youth in its development to educate and promote a sense of pride and connection for the community, which will ultimately benefit from a new safe space and give them better access to health, hygiene, and Alcohol and Other Drugs (AOD) support services.",,,86,35,,,"Feasibility study, Youth Centre, Bagot Community",17,S,,,,,,,,,,,,,,,,
145,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Yarning Circle,,,Endeavour,2023.0,"Endeavour began supporting the creation of a new Yarning Circle for the Sanderson Middle School, providing a safe, calm and inclusive area to assist with cultural learning. The students have been involved in designing, building and developing artwork around the Yarning Circle, which aims to improve student engagement, cultural learning and attendance at school while providing a space for students to connect.",,,86,35,,,"Yarning Circle, Sanderson Middle School, cultural learning",17,S,,,,,,,,,,,,,,,,
146,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Strong and Connected program,,,Endeavour,2023.0,"In F24, Endeavour will support and invest in Damien Mick's Strong and Connected program, which focuses on mentoring and supporting young people using youth transport services to establish connections. The program aims to build trust, cultural connections and respect with young people over time to impact families and the broader community positively.",,,86,35,,,"Strong and Connected program, Damien Mick, youth transport service",17,S,,,,,,,,,,,,,,,,
147,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Larrakia Nation Aboriginal Corporation,,,Endeavour,2023.0,"In June 2022, Endeavour formally partnered with the Larrakia Nation Aboriginal Corporation. Larrakia Nation is the peak representative organisation for the Larrakia people, the traditional owners of the Darwin region and a major service provider for Aboriginal people in the area. The partnership is a long-term commitment to local engagement and positive change, as Endeavour and Larrakia Nation work together to address community issues in Darwin.",,,86,36,,,"Larrakia Nation Aboriginal Corporation, traditional owner, Darwin","10, 17",S,,,,,,,,,,,,,,,,
148,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Cultural engagement program,,,Endeavour,2023.0,"Endeavour's partnership with the Larrakia Nation Aboriginal Corporation included the development of a five-week Larrakia Nation-run cultural engagement program designed to make the Darwin team and the broader community feel safer. This program involved day and night patrols around Endeavour's retail sites in the Darwin area, supporting the reduction of anti-social behaviour on Larrakia Land.",,,86,36,,,"Cultural engagement program, Larrakia, Darwin","10, 17",S,,,,,,,,,,,,,,,,
149,,413.0,Local Communities,413-01,"Operations with local community engagement, impact assessments, and development programs",,Larrakia Protocols,,,Endeavour,2023.0,"Endeavour and Larrakia Nation's partnership promoted the implementation of Larrakia Protocols in BWS stores across Darwin and Palmerston as a reminder to everyone to be respectful when purchasing alcohol. The Larrakia Protocols are played in eight different Aboriginal and Torres Strait Islander languages, communicating a message of respect for locals and people travelling from remote regions of the NT and interstate. The languages featured are English (using Larrakia person), Yolngu Matha (East Arnhem), Anindilyakwa (Groote Eylandt), Modern Tiwi (Tiwi Islands), Kriol (Big Rivers region Ã¢ÂÂ Katherine), Murrinh Patha (Wadeye), Kunwinjku (Gunbalanya) and Warlpiri (Central Australia).",,,86,37,,,"Larrakia Protocol, Darwin, BWS store","10, 17",S,,,,,,,,,,,,,,,,
