Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),Linkage to other GRI disclosure,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
60,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,Electronic Shelf Labelling,,,Endeavour,2023.0,"More than half of Endeavour's Dan Murphy's stores nationally, a total of 134, now feature Electronic Shelf Labelling (ESL), reducing paper ticketing and waste and delivering productivity and cost savings to stores. ESL provides a better customer experience with timely and improved pricing accuracy and LED 'light up' functionality, helping customers find products using the 'Ask Uncle Dan' app.",,,85,66,,,"Electronic Shelf Labelling, paper ticketing, waste","9, 12",E,,,,,,,,,,,,,,,,
61,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,Sustainable Packaging Guildelines,,,Endeavour,2023.0,"In F23, Endeavour created the Sustainable Packaging Guidelines so that everyone who works to bring its products to life Ã¢ÂÂ from Endeavour's marketers, procurement team, and its contracted supply partners Ã¢ÂÂ has a shared understanding of Endeavour's commitments to improve its packaging. That way, Endeavour can design for sustainability and enhance the circularity of its products.",,,85,70,,,"Sustainable Packaging Guidelines, supply partner, packaging",12,E,,,,,,,,,,,,,,,,
62,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,Recork program,,,Endeavour,2023.0,"In F23, Endeavour has identified cork as a key material type it needs to solve to deliver on its packaging and waste commitments. Endeavour established the trial Recork program to assess the feasibility and impact of a store-based cork recycling program. Through the Recork program, customers can return their corks to selected BWS and Dan Murphy's stores in F24. Australian shoe recyclers Save Our Soles will lead in repurposing Endeavour's recycled cork into anti-fatigue mats for its team.",,,85,71,,,"Recork program, cork, waste commitment",12,E,,,,,,,,,,,,,,,,
63,,301.0,Materials,301-03,Reclaimed products and thei packaging materials,,Revers Taper BVS bottle,,,Endeavour,2023.0,"Endeavour teamed up with leading Australian packaging solutions company Orora to provide a more sustainable option for the Reverse Taper wine bottle. The new lightweight Reverse Taper BVS bottle is 420 grams, 195 grams lighter than other options, and has a recycled glass content of about 40%. Reverse Taper bottles, which are wider at the shoulders than the base, are a popular premium option in the wine industry due to their unique appearance and shelf appeal.",,,85,71,,,"Reverse Taper BVS bottle, Orora, recycled glass content",12,E,,,,,,,,,,,,,,,,
64,,302.0,Energy,302-01,Energy consumption within the organization,"Endeavour consumed 430,721 MWh in 2023.",,,,Endeavour,2023.0,,,,85,80,,,,,,,,,,,,,,,,,,,,,
65,,302.0,Energy,302-02,Energy consumption outside of the organization,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,302.0,Energy,302-03,Energy intensity,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,302.0,Energy,302-04,Reduction of energy consumption,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,302.0,Energy,302-04,Reduction of energy consumption,,,Energy efficiency improvements,,Endeavour,2023.0,"Additional energy efficiency improvements are underway in refrigeration in Endeavour's Retail stores in NSW and VIC. This program involves the replacement of 144 open cases with cases with doors to reduce refrigeration energy consumption. Where possible, Endeavour also retrofits doors on existing cases to increase the assets and lifecycle and further reduce consumption.",,,,66,,,"Energy efficiency improvement, energy consumption, refrigeration","7, 13",E,,,,,,,,,,,,,,,,
69,,302.0,Energy,302-04,Reduction of energy consumption,,,Occupancy sensors,,Endeavour,2023.0,"Endeavour completed an LED lighting roll-out in all its retail stores and started to install occupancy sensors in the back-of-house areas of Dan Murphy's sites, where they still need to be included. The occupancy sensors are set in motion, turning off the lights during the day and when the areas are unoccupied.",,,,67,,,"Occupancy sensor, LED lighting, retail store","7, 13",E,,,,,,,,,,,,,,,,
70,,302.0,Energy,302-04,Reduction of energy consumption,,,Smart control systems,,Endeavour,2023.0,"More than 99 Endeavour's retail sites feature smart control systems, which use a combination of sensors and intelligent algorithms to provide seamless control and monitoring capabilities. They offer a convenient way to regulate and customise settings remotely through online portals, including lighting, temperature, and security systems, optimising energy efficiency, enhancing convenience and creating a more intelligent and tailored store environment.",,,,67,,,"Smart control system, monitoring capability, online portal","9, 13",E,,,,,,,,,,,,,,,,
71,,302.0,Energy,302-05,Reductions in energy requirements of products and services,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,303.0,Water and Effluents,303-01,Interactions with water as a shared resource,"Endeavour has been working to understand better climatic conditions to drive water efficiency and security for its sites. Endeavour implemented a system to better capture and consolidate water usage data across all sites, enabling it to identify opportunities for better efficiency.",,,,Endeavour,2023.0,,,,85,69,,,,,,,,,,,,,,,,,,,,,
73,,303.0,Water and Effluents,303-02,Management of water discharge-related impacts,,Wastewater treatment,,,Endeavour,2023.0,"In F23, Endeavour's wastewater treatment plant between its Dorrien Estate (Tanunda) and Vinpac International (Angaston) sites in the Barossa region captured, treated and reused 66,441 kilolitres of water used in operations. The treated water irrigates 22 hectares of Endeavour's crops and gardens.",,,85,69,,,"Wastewater treatment, water, irrigation","6, 12",E,,,,,,,,,,,,,,,,
74,,303.0,Water and Effluents,303-03,Water withdrawal,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,303.0,Water and Effluents,303-04,Water discharge,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,303.0,Water and Effluents,303-05,Water consumption,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,304.0,Biodiversity,304-01,"Operational sites owned, leased, managed in, or adjacent to, protected areas and areas of high biodiversity value outside protected areas",NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,Sustainable Winegrowing Australia,,Endeavour,2023.0,"Eight Endeavour sites are certified through the Sustainable Winegrowing Australia (SWA) program, and four sites are certified to ISO 14001:2015. SWA is a national program for grape growers and winemakers to demonstrate and continuously improve sustainability in the vineyard and winery through their businesses' environmental, social, and economic aspects. Endeavour has been involved in the program since it started, with reporting allowing it to benchmark its operations against other vineyards and wineries and help identify areas for improvement.",,,,68,,,"Sustainable Winegrowing Australia, ISO 14001:2015, vineyard","8, 15, 17","E, S",,,,,,,,,,,,,,,,
80,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,Biodiversity Action Plan,,Endeavour,2023.0,"Endeavour established its best-practice Biodiversity Action Plan to track and improve local biodiversity at Chapel Hill. The plan has been shared with Endeavour's vineyards and wineries and adopted by Dorrien Estate Winery as part of its SWA certification. Through collaboration between Endeavour's viticulturists and sustainability leads, sustainable land management practice models are being rolled out to conserve, enhance and create biodiversity areas in Endeavour's vineyards and surrounding environments.",,,,69,,,"Biodiversity Action Plan, Chapel Hill, vineyard","8, 15, 17","E, S",,,,,,,,,,,,,,,,
81,,304.0,Biodiversity,304-02,"Significant impacts of activities, produces, and services on biodiversity",,,Flora and fauna audit,,Endeavour,2023.0,"In F23, Endeavour's Dorrien Estate Winery conducted a flora and fauna audit to establish a revegetation plan with a biodiversity focus. The plan considered the existing flora on-site in the winery expansion concept plans. It detailed a revegetation program that would be conducive to the quality requirements of an operating site while specifically targeting local flora species that would support endangered fauna species endemic to the Barossa region.",,,,69,,,"Flora and fauna audit, biodiversity, revegetation plan","8, 15","E, S",,,,,,,,,,,,,,,,
82,,304.0,Biodiversity,304-03,Habitats protected or restored,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,"Endeavour's scope 1 emissions in 2023 were 33,168 tCO2e.",,,,Endeavour,2023.0,,,,85,80,,,,,,,,,,,,,,,,,,,,,
85,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"Endeavour's scope 2 emissions in 2023 were 295,044 tCO2e.",,,,Endeavour,2023.0,,,,85,80,,,,,,,,,,,,,,,,,,,,,
86,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,"Endeavour's scope 3 emissions in 2023 were 27,808 tCO2e.",,,,Endeavour,2023.0,,,,85,80,,,,,,,,,,,,,,,,,,,,,
87,,305.0,Emissions,305-04,GHG emissions intensity,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
88,,305.0,Emissions,305-05,Reduction of GHG emissions,NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
89,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),NO DISCLOSURE,,,,Endeavour,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
