Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
,West Moreton (all sites) ,tonnes,306-4 (d-i),0,0,0,0,"West Moreton consists of the Jeebropilly, Chuwar, and New Oakleigh Mines. Chuwar was fully rehabilitated and relinquished in FY22. New Oakleigh was undergoing rehabilitation since FY13 and was sold in FY23. Jeebropilly has been undergoing rehabilitation since FY20."
,QBH,tonnes,306-4 (d-i),0,0,0,0,
,Brisbane Head Office,tonnes,306-4 (d-i),,,,,
,Burton (Lenton JV),tonnes,306-4 (d-i),,0,0,0,The Burton Mine was sold during FY22.
,Total non-hazardous waste stored on-site,tonnes,306-4 (d-i),1220,1314,1418,917,
,,,,,,,,
,Total non-hazardous waste diverted from disposal,tonnes,306-4 (c),2590.808,2215.558,2191.084,1896.3429999999998,
,,,,,,,,
,Total waste diverted from disposal,tonnes,306-4 (a),3246.738,2786.558,3199.216,3062.663,
,,,,,,,,
,Waste directed to disposal,,,,,,,
,Hazardous waste directed to disposal,,,,,,,
,Hazardous waste incinderated (mass burn),,,,,,,
,Bengalla,tonnes,306-5 (b-i),0,2,0,0,
,New Acland,tonnes,306-5 (b-i),0,0,0,0,
,West Moreton (all sites) ,tonnes,306-5 (b-i),0,0,0,0,"West Moreton consists of the Jeebropilly, Chuwar, and New Oakleigh Mines. Chuwar was fully rehabilitated and relinquished in FY22. New Oakleigh was undergoing rehabilitation since FY13 and was sold in FY23. Jeebropilly has been undergoing rehabilitation since FY20."
,QBH,tonnes,306-5 (b-i),0,0,0,0,
,Brisbane Head Office,tonnes,306-5 (b-i),,,,,
,Burton (Lenton JV),tonnes,306-5 (b-i),,0,0,0,The Burton Mine was sold during FY22.
,Total hazardous wasted incinerated (mass burn),tonnes,306-5 (b-i),0,2,0,0,
,,,,,,,,
,Hazardous waste directed to landfill,,,,,,,
,Bengalla,tonnes,306-5 (b-iii),0,0,0,0,
,New Acland,tonnes,306-5 (b-iii),28.537,44,3.3623,0,
,West Moreton (all sites) ,tonnes,306-5 (b-iii),0,0,0,0,"West Moreton consists of the Jeebropilly, Chuwar, and New Oakleigh Mines. Chuwar was relinquished during FY22. New Oakleigh was undergoing rehabilitation since FY13 and was sold in FY23. Jeebropilly has been undergoing rehabilitation since FY20."
,QBH,tonnes,306-5 (b-iii),0,0,0.02,0,
,Brisbane Head Office,tonnes,306-5 (b-iii),,,,,
,Burton (Lenton JV),tonnes,306-5 (b-iii),,0,0,0,The Burton Mine was sold during FY22.
,Total hzardous waste directed to landfill,tonnes,306-5 (b-iii),28.537,44,3.3823,0,
,,,,,,,,
,Total hazardous waste directed to disposal,tonnes,306-5 (b),28.537,46,3.3823,0,
,,,,,,,,
,Non-hazardous waste directed to disposal,,,,,,,
,Non-hazardous waste directed to landfill,,,,,,,
,Bengalla,tonnes,306-5 (c-iii),519,403,396,438,
,New Acland,tonnes,306-5 (c-iii),58.488,51,64.539,67.78,
,West Moreton (all sites) ,tonnes,306-5 (c-iii),0,4.042,0.75,88.423,"West Moreton consists of the Jeebropilly, Chuwar, and New Oakleigh Mines. Chuwar was fully rehabilitated and relinquished in FY22. New Oakleigh was undergoing rehabilitation since FY13 and was sold in FY23. Jeebropilly has been undergoing rehabilitation since FY20."
,QBH,tonnes,306-5 (c-iii),0,10.247,37.72,76.98,
,Brisbane Head Office,tonnes,306-5 (c-iii),,,,,
,Burton (Lenton JV),tonnes,306-5 (c-iii),,0.5,4.569,6.787,The Burton Mine was sold during FY22.
,Total non-hazardous waste directed to landfill,tonnes,306-5 (c-iii),577.488,468.789,503.57800000000003,677.97,
,,,,,,,,
,Total non-hazardous waste directed to disposal,tonnes,306-5 (c),577.488,468.789,503.57800000000003,677.97,
,,,,,,,,
,Total waste directed to disposal,tonnes,306-5 (a),606.0250000000001,514.789,506.9603,677.97,
,,,,,,,,
,Asset integrity and critical incident management,,,,,,,
,Significant Spills,,,,,,,
,New Hope Group total,#,306-3,0,Not reported,Not reported,Not reported,
