Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,CONTENTS,,,,,GREENHOUSE GAS EMISSIONS,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Our greenhouse gas (GHG) emissions are directly related to our energy use and growth of our operations. MinRes calculates its direct (Scope 1) and energy indirect (Scope 2) GHG emissions for entities under its operational control in alignment with the GHG Protocol and the Australian National Greenhouse and Energy Reporting Act 2007. ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Our GHG emissions performance metrics are detailed below.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,GRI 305-1 | Direct (Scope 1) GHG emissions,,,,,,,,,,,,,,,
,,,,,,GRI 305-2 | Energy indirect (Scope 2) GHG emissions,,,,,,,,,,,,,,,
,,,,,,SASB | EM-MM-110a.1. Greenhouse Gas,,,,,,,,,,,,,,,
,,,,,,Table 1: Scope 1 and 2 greenhouse gas emissions1 2,,,,,,,,,,,,,,,
,,,,,,,FY18,FY19,FY20,FY21,FY22,FY23,% of total emissions FY23,Trend from FY22,,Conversion factors,,,,,
,,,,,,Mining Wear Parts,0,1.60325363058824,-,0,22.9472938472727,-,-32.16,115.77,,,,,,,
,,,,,,Mining Wear Parts - QLD,0,0.425489035294118,-,0,41.9256307636364,-,-27.75,153.23,,,,,,,
,,,,,,MN/Boodarie Yard,0,358.69105584,-,0,0,-,-20.4243306484332,118.537305742565,,,,,,,
,,,,,,Mt Marion Mine Operations,65916,102697.404432169,0.558004193703638,0,0,-,-31.1,121.5,,,,,,,
,,,,,,Mt Richardson,124,158.976934644706,0.28207205358633874,0,0,-,-28.8,120,,,,,,,
,,,,,,Onslow Port (Ashburton Port),0,15.7561588302,-,0,0,-,-21.68,115.01,,,,,,,
,,,,,,Onslow Project,0,18231.1737111877,-,0,0,-,-21.7039076315665,115.000344510524,,,,,,,
,,,,,,Parker Range,19610,34923.9819575414,0.7809271778450485,0,0,-,-31.6,119.6,,,,,,,
,,,,,,Red Gully Processing Facility,0,0,-,25,14.253021,-0.42987916,-31.2,115.8,,,,,,,
,,,,,,Resource Development Group,954,12426.293669642,12.02546506251782,56,34.47198,-0.3844289285714285,-28,114.2,,,,,,,
,,,,,,Wangara Medical Facility,0,0.916129411764706,-,0,110.710692982824,-,-31.79,115.81,,,,,,,
,,,,,,Wellard Street Storage,0,0.56130214,-,96,59.8140189,-0.376937303125,-32.1,115.8,,,,,,,
,,,,,,Wonmunna Iron Ore Project,40932,45553.8494480552,0.1129153094902571,0,0,-,-23.1,119.1,,,,,,,
,,,,,,Wycombe Warehouse,0,0,-,0,145.05827592,-,-31.94,115.99,,,,,,,
,,,,,,Total,337488,373461.22267400136,0.10659111634784454,3026,3490.1271398737335,0.1533797554110157,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 4: Commodity level greenhouse gas emissions,,,,,,,,,,,,,,,
,,,,,,,"Scope 1
 (tCO2e) ",,,"Scope 2 
 (tCO2e) ",,,"Total emissions
 (tCO2e) ",,,,,,,,
,,,,,,,FY22,FY23,Trend from FY22,FY22,FY23,Trend from FY22,FY23,,,,,,,,
,,,,,,Iron Ore,256938,250929.89059514547,-0.023383498761781186,11,0,-1,250929.89059514547,,,,,,,,
,,,,,,Lithium ,65916,102697.404432169,0.558004193703638,0,0,-,102697.404432169,,,,,,,,
,,,,,,Energy,10925,1762.68098916,-0.8386562023652173,25,14.253021,-0.42987916,1776.93401016,,,,,,,,
,,,,,,Corporate ,2437,4583.9829356802,0.8809942288388183,1867,2191.84763358,0.17399444755222288,6775.830569260201,,,,,,,,
,,,,,,Other,1272,13487.263721846723,9.6031947498795,1123,1284.026485293733,0.14338956838266517,14771.290207140455,,,,,,,,
,,,,,,Total,337488,373461.2226740014,,3026,3490.127139873733,,376951.34981387516,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,GRI 305-4 | GHG emissions intensity,,,,,,,,,,,,,,,
,,,,,,Table 5: Carbon intensity of our operations,,,,,,,,,,,,,,,
,,,,,,,FY17,FY18,FY19,FY20,FY21,FY22,FY23,Trend from FY22,,,,,,,
,,,,,,Tonnes Material Mined (TMM) (wet metric kt),53636,79529,61593,94237,131565,136877,124487.13481700668,-0.0905182403398184,,,,,,,
,,,,,,GHG intensity: tCO2e/ TMM (wet metric kt),3.4394947529782582,2.7404984925850004,3.21,2.39,2.27,2.5,3.028034586609975,0.21121383464399007,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,EMISSIONS REDUCTION,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,"MinRes is committed to investigating alternative and renewable energy options to support the achievement of net zero emissions by 2050. Currently, diesel is the primary energy source for mining equipment, transportation, and haulage of materials over long distances and for electricity generation at some of our non-grid-connected operations. While we have made significant progress in non-diesel electricity generation through the development of the Mt Marion gas-fired power station with LNG storage and vaporisation, we continue to investigate additional ways to reduce our reliance on diesel fuel with new developments in the Pilbara and Ashburton Hubs. 

Emission reduction initiatives active within the reporting year are detailed in the 2023 Sustainability Report on page 164.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Table 6: Emissions reduction initiatives spend ,,,,,,,,,,,,,,,
,,,,,,MinRes Spend Category Classification,Stage of Development ,,Value Chain Stage(s) covered ,Average % of total R&D investment over FY19-FY23,Climate Change Investment ($AUD),,,,,Description,,,,,
,,,,,,,,,,,FY19,FY20,FY21,FY22, FY23,,,,,,
,,,,,,Energy Efficiency ,Large scale commercial deployment,,"Direct operations
Downstream",0.08288278757512377,353205,3025453,2211720,0,0,"Research and development of Next Gen Portable and Modular Crushing technologies delivering safe, reliable production for the hard-rock crushing industry. Modular design allows for fewer transport movements and quicker installation / demobilisation time frames resulting in reduced emissions.",,,,,
,,,,,,Energy Efficiency ,Large scale commercial deployment,,Direct operations,0.37611379690092206,20491574,4283485,0,593517,0,Research and development into improving processing of lithium as a key mineral in the energy transition towards a low-carbon future. Development of New Spodumene processing techniques for improved efficiency and increased product grade (Mt Marion) and development of New Spodumene processes for improved flotation and fines rejection (Wodgina).,,,,,
,,,,,,Energy Efficiency ,Pilot demonstration,,"Direct operations
Downstream",0.05392892450946473,355541,3281922,0,0,0,"Research and development into graphite as a key mineral often used in metal manufacturing, and in energy devices like batteries and solar panels.

MinRes is undertaking a project with the objective of developing new low-emission processes to produce a high purity synthetic graphite and hydrogen (as a by-product) using natural gas as feed stocks and iron oxide as a process catalyst.",,,,,
,,,,,,Circular Economy Initiatives ,Pilot demonstration,,"Direct operations
Downstream",0.03508784210411245,0,44720,613822,1708105,0,"MinRes participant in research and development into the Kemerton Lithium Hydroxide (LiOH) plant as part of the MARBL Joint Venture (JV). The Kemerton plant will generate (~6%) of lithium content with the remaining being a by-product or tailings from the process.

Through the correct treatment or formulations, this by-product can be used to produce alternative construction materials or be converted into zeolites for use as molecular sieves, with the added benefit of reducing the amount of material send to tailings facilities.",,,,,
,,,,,,Energy Efficiency ,Full/commercial-scale demonstration,,"Direct operations
Downstream",0.05125098332091599,0,0,1805565,1651273,0,"Research and development into an autonomous road train solution. Autonomous truck platooning is the linking of two or more trucks in a convoy using connectivity technology and automated driving support systems. These vehicles automatically maintain a set, close distance between each other when they are connected for certain parts of a journey. The automated driving support system has the potential to reduce fuel consumption by up to 11%. ",,,,,
,,,,,,"Low Carbon Transitioning 


",Small-scale commercial deployment,,Direct operations,0.013594452615761601,0,0,485722,431213,0,Research and development of a modular Liquefied Natural Gas (LNG) storage and vaporisation system for gas-fired power generation at remote mine sites to reduce scope 2 tonnes of carbon dioxide emissions equivalent.  ,,,,,
,,,,,,Renewable Energy,Large scale commercial deployment,,Direct operations,0.07172853041950297,0,0,0,1007395,3830637.2400000007,"Development of hybrid, re-deployable Solar PV, Diesel and Battery power generation, system for Wonmunna.",,,,,
,,,,,,Energy Efficiency ,Large scale commercial deployment,,Direct operations,0.02059460941509298,0,0,0,1389090,0,Research and development of improved Transhipment technologies for loading iron ore bulk carriers to improve efficiency.,,,,,
,,,,,,Energy Efficiency ,Large scale commercial deployment,,Direct operations,0.05385010964242902,0,0,0,3632147,0,"Research and development of improved metallurgical processes capable of high yield, 60% Fe grade detrital ore.",,,,,
,,,,,,Renewable Energy,Large scale commercial deployment,,Direct operations,0.11028051914237409,0,0,0,0,7438333.17,Lucky Bay wind farm.,,,,,
,,,,,,Electrification of transport / mobile fleet,Pilot demonstration / Small-scale commercial deployment,,Direct operations,0.01965935745076893,0,0,0,0,1326008,Research and development into the electrification of mobile fleet and MEVCO Toyota Hilux EV utes. ,,,,,
,,,,,,Renewable Energy,Large scale commercial deployment,,Direct operations,5.0556564445404596e-05,0,0,0,0,3410,Solar Panel maintenance.,,,,,
,,,,,,Energy Efficiency ,Pilot demonstration,,Direct operations,2.9474032292511536e-05,0,0,0,0,1988,Mobile solar canopy LED lighting.,,,,,
,,,,,,Renewable Energy,Small-scale commercial deployment,,Direct operations,0.00037121298290772114,0,0,0,0,25038.02,Solar Installation for Mine Ware Parts Yatala Site QLD Warehouse.,,,,,
,,,,,,Energy Efficiency,Large scale commercial deployment,,Direct operations,0.11057684332388563,0,0,0,0,7458320,Research and development into energy efficiency proof of concept projects on road haulage fleet.,,,,,
,,,,,,"Average per cent of the total R&D investment is calculated as the average proportion of R&D spend over the last three years related to low carbon investment/benefit, therefore, the percentage total does not equal 100 per cent. ",,,,,,,,,,,,,,,
,,,,,,"Stage of development aligned to CDP reporting definitions and categorised as: Basic academic/theoretical research, Applied research and development, Pilot demonstration, Full/commercial-scale demonstration, Small scale commercial deployment and/or Large scale commercial deployment.",,,,,,,,,,,,,,,
