Unnamed: 0,Unnamed: 0.1,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24
4,,CONTENTS,,,,,ENERGY CONSUMPTION,,,,,,,,,,,,,,,,,,
7,,,,,,,"Energy is a critical input for our business operations and makes a significant contribution to our operational scope 1 and 2 greenhouse gas emissions. Currently, diesel makes up the majority of our energy mix, however, we are actively exploring innovative ways to reduce our energy consumption and transition towards more sustainable energy sources to minimise our environmental impact.",,,,,,,,,,,,,,,,,,
8,,,,,,,Our energy performance metrics are detailed below.,,,,,,,,,,,,,,,,,,
11,,,,,,,GRI 302-1 | Energy consumption within the organisation,,,,,,,,,,,,,,,,,,
12,,,,,,,SASB | EM-MM-130a.1. Energy management\n,,,,,,,,,,,,,,,,,,
13,,,,,,,Table 1: Total energy consumption,,,,,,,,,,,,,,,,,,
14,,,,,,,,,FY18,,FY19,,FY20,,FY21,,FY22,,FY23 2,,Trend from FY22,,% Total energy consumption,,
15,,,,,,,,,GJ,MWh,GJ,MWh,GJ,MWh,GJ,MWh,GJ,MWh,GJ,MWh,GJ,MWh,,,
16,,,,,,,Non-renewable fuel consumption,,,,,,,,,,,,,,,,,,
17,,,,,,,Natural gas1,,149274,41465,233215,64781.944444444445,236596,65721.11111111111,0,0,39,10.833333333333334,1050.67,291.8527777777778,25.940256410256413,25.940256410256413,0.00018969847090202196,,
18,,,,,,,"Diesel fuel - non-transport (excavators, cranes, forklifts)",,1980188,550052.2222222222,2055943,571095.2777777778,2338113,649475.8333333334,3545755,984931.9444444444,3805466,1057073.8888888888,4223573.375029202,1173214.8263970003,0.10987021695350888,0.10987021695350892,0.7625661825173762,,
19,,,,,,,Diesel fuel - electricity generation,,129678,36021.666666666664,136119,37810.833333333336,142958,39710.555555555555,216864,60240,316672,87964.44444444444,409704.9059665222,113806.91832403393,0.2937831761776291,0.29378317617762917,0.07397222170891521,,
20,,,,,,,Diesel fuel - transport,,475161,131989.16666666666,422880,117466.66666666666,293288,81468.88888888889,208258,57849.444444444445,290361,80655.83333333333,380739.28435564484,105760.91232101245,0.31126178913712527,0.3112617891371253,0.06874247866085065,,
21,,,,,,,LNG,,329367,91490.83333333333,429662,119350.55555555555,364018,101116.11111111111,327603,91000.83333333333,328407,91224.16666666667,391102.866,108639.685,0.1909090427426942,0.19090904274269418,0.070613623350432,,
22,,,,,,,Petrol,,1974,548.3333333333334,1679,466.38888888888886,1189,330.27777777777777,1596,443.3333333333333,1147,318.6111111111111,1030.6004677199999,286.27790769999996,-0.10148171951176994,-0.1014817195117699,0.00018607491680298536,,
23,,,,,,,Oils and greases,,29679,8244.166666666666,22806,6335,43123,11978.611111111111,40486,11246.111111111111,70778,19660.555555555555,75409.67122699998,20947.130896388884,0.06543941940998593,0.06543941940998596,0.013615216312435017,,
24,,,,,,,LPG and acetylene,,0,0,38,10.555555555555555,793,220.27777777777777,1229,341.38888888888886,1227,340.8333333333333,2811.7901229411764,781.0528119281046,1.2915974922095976,1.2915974922095979,0.000507668713125291,,
25,,,,,,,Total non-renewable fuel consumption,,3095321,859811.3888888889,3302342,917317.2222222221,3420078,950021.6666666666,4341791,1206053.0555555553,4814097,1337249.1666666663,5485423.16316903,1523728.6564358415,0.13945006990283537,0.13945006990283554,,,
26,,,,,,,Other non-renewable fuel consumption,,,,,,,,,,,,,,,,,,
27,,,,,,,Unprocessed natural gas,,5850,1625,0,0,0,0,0,0,143576,39882.22222222222,0,0,-1,-1,0,,
28,,,,,,,Natural gas condensate,,0,0,0,0,0,0,0,0,2563,711.9444444444445,0,0,-1,-1,0,,
29,,,,,,,Diesel - explosives,,41965,11656.944444444443,21995,6109.722222222222,50925,14145.833333333332,61386,17051.666666666668,40269,11185.833333333334,18771.02716985647,5214.174213849019,-0.5338591181838023,-0.5338591181838023,0.003389108998431554,,
30,,,,,,,Non-lubricant oils,,5594,1553.888888888889,5891,1636.388888888889,4967,1379.7222222222222,4623,1284.1666666666667,6412,1781.111111111111,7739.262408799998,2149.795113555555,0.2069966326887084,0.20699663268870835,0.0013973238456021957,,
31,,,,,,,Total other consumption,,53409,14835.833333333332,27886,7746.11111111111,55892,15525.555555555555,66009,18335.833333333336,192820,53561.11111111111,26510.289578656466,7363.969327404574,-0.8625127601978194,-0.8625127601978194,,,
32,,,,,,,Electricity consumption,,,,,,,,,,,,,,,,,,
33,,,,,,,Purchased electricity consumption,,11435,3176.3888888888887,12202,3389.4444444444443,10004,2778.8888888888887,10580,2938.8888888888887,16066,4462.777777777777,24533.48405840282,6814.856682889672,0.5270436983942998,0.5270436983942999,0.004429520602832618,,
34,,,,,,,Self-generated solar PV electricity consumption,,2840,788.8888888888889,3271,908.6111111111111,2947,818.6111111111111,2780,772.2222222222222,2736,760,2164.9509684,601.375269,-0.20871675131578948,-0.20871675131578946,0.0003908819022940901,,
