Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
101,,304.0,Biodiversity,304-04,IUCN Red List species and national conversation list species with habitats in areas affected by operations,,Vulture Conservation with Wildlife ACT,,,Brambles,2023.0,"The Southern Drakensberg Vulture Conservation Project works with Wildlife ACT to safeguard endangered vultures in KwaZulu-Natal, South Africa, near CHEP SSA timber farms. Vultures are essential for a healthy ecosystem, but their numbers are dwindling due to poisoning, collisions, and illegal trade. The project protects their habitats, responds to poisonings, educates communities, and advocates for better law enforcement.",,,,24,,,"Vulture conservation, Ecosystem protection, Community Education",15,S,,,,,,,,,,,,,,,,
102,,305.0,Emissions,305-01,Direct (Scope 1) GHG emissions,,Afforestation from Carbon Credits,,,Brambles,2023.0,"Afforestation from Carbon Credits is purchased to achieve our Scope 1 carbon neutrality target. It creates new forest mass and offsets emissions. However, the number of trees and the subsequent impact on our Forest Positive Target is modest.\t",,,,21,,,"Carbon offsetting, Afforestation, Emission reduction","13, 15",E,,Sustainability Pack,,,,,,,,,,,,,,
103,,305.0,Emissions,305-02,Energy indirect (Scope 2) GHG emissions,"The location-based indirect GHG emissions: 16,407 ktCO2e",,,,Brambles,2023.0,,,,,,,,,,,,Sustainability Pack,,,,,,,,,,,,,,
104,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,Setting SBTs covering 100% of our Scope 1 and 2 and over 90% of our Scope 3 emissions by 2025,,,,Brambles,2023.0,,,,,20,,,,,,,,,,,,,,,,,,,,,
105,,305.0,Emissions,305-03,Other indirect (Scope 3) GHG emissions,"Global Scope 3 emissions (ktCO2-e): 1,407",,,,Brambles,2023.0,,,,,25,,,,,,,,,,,,,,,,,,,,,
106,,305.0,Emissions,305-04,GHG emissions intensity,"0,118 kg per unit",,,,Brambles,2023.0,,,,,,,,,,,,Sustainability Pack,,,,,,,,,,,,,,
107,,305.0,Emissions,305-05,Reduction of GHG emissions,,CHEP and PepsiCo Brazil clock 1 million kilometres travelled through shared trips,,,Brambles,2023.0,"The collaboration has improved supply chain efficiencies in FY21, FY22, and FY23 and reduced carbon emissions through optimising transportationÃ¢ÂÂreaching an impressive 1 million kilometres in shared trips, translating to a reduction of over 800 tonnes of fuel-related emissions. The project has strengthened the successful commercial relationship, and the collaboration is evolving beyond mileage efficiencies, with a portion of the transport now utilising alternative fuels and renewable energy.",,,,"5, 14",,,"Supply chain efficiency, Carbon emissions reduction, Collaboration","9, 13",S,,,,,,,,,,,,,,,,
108,,305.0,Emissions,305-05,Reduction of GHG emissions,,Sainsbury's and CHEP's partnership reduces empty kilometres and CO2 emissions.,,,Brambles,2023.0,"In the UK, CHEP collaborated with Sainsbury's Distribution Centre in Daventry to eliminate 1,000 truck trips and save over 40,000 km in transport movements. This initiative eliminated unnecessary pallet movements and decreased pallet supply collection and delivery distances.",,,,"14, 25",,,"Transport efficiency, Emission reduction, Collaboration","9, 13",S,,,,,,,,,,,,,,,,
109,,305.0,Emissions,305-05,Reduction of GHG emissions,,Decarbonisation Pathways Model,,,Brambles,2023.0,"Brambles plans to achieve net zero carbon emissions by 2040 through its SBTs. The Supply Chain team developed an interactive tool, the Decarbonisation Pathways Model, to help meet Scope 1, 2 and 3 targets.",,,,25,,,"Carbon emissions reduction, Decarbonisation tool, Net zero target","7, 9, 13",S,,,,,,,,,,,,,,,,
110,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,,NO DISCLOSURE,Brambles,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,,NO DISCLOSURE,Brambles,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,,GIWA Partnership,,,Brambles,2023.0,"GIWA GmbH, our German partner in plastic solutions, has been fundamental in the most significant sustainability benchmark of any product range in our history Ã¢ÂÂ the EU LMS plastic range is now entirely produced with 100% post-consumer upcycled plastic. The GIWA team embraced this recycled material ambition for existing products (the new Q+ RDU) and is setting the standard for future Brambles plastic products.",,,,"15, 20",,,"Plastic upcycling, Post-consumer plastic, Sustainable solutions","12, 13",E,,,,,,,,,,,,,,,,
113,,306.0,Waste,306-02,Management of significant waste-related impacts,,Brambles' solutions to achieve zero product waste to landfill,,,Brambles,2023.0,"Reduce: Reduce damage, Improve durability; reuse: Minimise scrapping, Maximise reclaim of damaged materials; recycle: to products like biochar, new lumber, garden mulch, and compost; recover: through waste-to-energy technologies; landfill: not aligned with the target, actively seeking solutions for change.",,,,"20, 28",,,"Reduce, Reuse, Recycle, Recover, Landfill","12, 13",E,,,,,,,,,,,,,,,,
114,,306.0,Waste,306-03,Waste generated,1.2m tonnes of waste,,,,Brambles,2023.0,,,,,8,,,,,,,,,,,,,,,,,,,,,
115,,306.0,Waste,306-04,Waste diverted from disposal,,Q+ static plastic quarter pallet,,,Brambles,2023.0,"The new Q+ static plastic quarter pallet, made from 100% post-consumer plastic pallets, eliminates the need for virgin plastic and helps reduce plastic pollution. CHEP recovers and upcycles 1.5kg of plastic waste for every new Q+ pallet. Ideal for customers who prioritise sustainability and compliance with upcoming EU regulations on one-way and tertiary packaging.",,,,"25, 28",,,"Plastic waste reduction, Upcycled plastic, Pollution prevention","12, 13",E,,,,,,,,,,,,,,,,
