Unnamed: 0,Industry,GRI Code,GRI Name,Disclosure,Disclosure Name,General Information,Initiative,Initiative from the undisclosed GRI (found by the coder but not mentioned in the GRI index table),UNDISCLOSED GRI,Organisation,Year,Solution Description,Solution Outcome,Digital tool,Data Source,Unnamed: 15,Unnamed: 16,Unnamed: 17,Keywords,SDGs,ESG,UNGC,Notes,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36
96,,305.0,Emissions,305-04,GHG emissions intensity,Infratil's portfolio emissions intensity of 3.4 tCOÃ¢ÂÂe/US$million invested,,,,Infratil,2023.0,,,,,2,,,,,,,,,,,,,,,,,,,,,
97,,305.0,Emissions,305-05,Reduction of GHG emissions,,,Airport Carbon Accreditation,,Infratil,2023.0,"In December 2022, Wellington Airport achieved Level 2 Certification (Reduction) - for airports with comprehensive emissions profile mapping and reductions in place.",,,,"2, 24",,,"Airport Emissions Reduction, Sustainable Practices, Certification","7, 9",E,,,,,,,,,,,,,,,,
98,,305.0,Emissions,305-05,Reduction of GHG emissions,,,Refrigerant-free indirect evaporative cooling technologies,,Infratil,2023.0,"As well as using renewable electricity, Kao uses refrigerant-free indirect evaporative cooling technologies and incorporates hyper-scale inspired design to deliver a market-leading PUE of",,,,30,,,"Evaporative Cooling, Hyper-scale Design, Energy Efficiency","7, 9",E,,,,,,,,,,,,,,,,
99,,305.0,Emissions,305-06,Emissions of ozone-depleting substances (ODS),,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,305.0,Emissions,305-07,"Nitrogen oxides (NOx), sulfur oxides (SOx), and other significant air emissions",,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,306.0,Waste,306-01,Waste generation and significant waste-related impacts,"In FY2023, 45% of our portfolio companies measured operational waste. Two entities have set operational waste reduction targets Ã¢ÂÂ we set out details of Wellington Airport's waste target on page 24. Over time, we want to expand the number of companies reporting and setting targets for operational waste and to grow reporting boundaries to include reporting on construction waste (as operational waste does not include construction waste).",,,,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
102,,306.0,Waste,306-02,Management of significant waste-related impacts,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,306.0,Waste,306-03,Waste generated,"2,829 ton",,,,Infratil,2023.0,,,,,33,,,,,,,,,,,,,,,,,,,,,
104,,306.0,Waste,306-04,Waste diverted from disposal,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
105,,306.0,Waste,306-05,Waste directed to disposal,The proportion of waste sent to landfill is 66%,,,,Infratil,2023.0,,,,,33,,,,,,,,,,,,,,,,,,,,,
106,,307.0,Environmental Compliance,307-01,Non-compliance with environmental laws and regulations,,,Green Star rating,,Infratil,2023.0,"In 2021, the first stage of The Verge at Burleigh achieved a 4-Star Green Star rating from the GBCA for using passive design principles, including innovative insulation, glazing selection, LED lighting and an entire rooftop of solar panels. The rating distinguishes The Verge as 'best practice' in sustainable design and was the first Green Star certification on a greenfield site for RetireAustralia.",,,,"19, 20",,,"Sustainable Building Design, Green Star Rating, Passive Design Principles","7, 9",E,,,,,,,,,,,,,,,,
107,,308.0,Supplier Environmental Assessment,308-01,New suppliers that were screened using environmental criteria,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
108,,308.0,Supplier Environmental Assessment,308-02,Negative environmental impacts in the supply chain and actions taken,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,401.0,Employment,401-01,New employee hires and employee turnover,,,HR Community of Practice,,Infratil,2023.0,"The Infratil Board has undertaken an annual deep dive into human capital across the portfolio for the last few years. This year, Morrison & Co established an ""HR Community of Practice"" of HR managers across the portfolio to support sharing ideas, experiences, and best practices.",,,,"14, 36",,,"Human Capital Management, HR Community, Best Practices Sharing","8, 11",S,,,,,,,,,,,,,,,,
110,,401.0,Employment,401-02,Benefits provided to full-time employees that are not provided to temporary or part-time employees,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111,,401.0,Employment,401-03,Parental leave,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
112,,402.0,Labor/Management Relations,402-01,Minimum notice periods regarding operational changes,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
113,,403.0,Occupational Health and Safety,403-01,Occupation health and safety management system,,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
114,,403.0,Occupational Health and Safety,403-02,"Hazard identification, risk assessment, and incident investigation","Managing risks, including ESG risks, and integrating ESG considerations throughout the investment lifecycle are critical factors for ensuring our business's and portfolio companies' long-term success and resilience. Key focus areas are ESG risks such as cyber-security and data protection, climate change, business ethics and regulatory environment.",,,,Infratil,2023.0,,,,,11,,,,,,,,,,,,,,,,,,,,,
115,,403.0,Occupational Health and Safety,403-03,Occupational health services,,,,NO DISCLOSURE,Infratil,2023.0,,,,,2,,,,,,,,,,,,,,,,,,,,,
116,,403.0,Occupational Health and Safety,403-04,"Worker participation, consultation, and communication on occupational health and safety",,,,NO DISCLOSURE,Infratil,2023.0,,,,,,,,,,,,,,,,,,,,,,,,,,
