Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Asset level environmental performance, as at June 2022",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Centre name,,Benchmarking,,,Energy,,GHG Emissions,,,,Water,,Waste,,
,,"Green Star
Performance
Stars","NABERS Energy Rating
Stars","NABERS Water Rating
Stars",Absolute consumption (GJ),"Intensity
(MJ / m2 GLA)","Scope 1
(tonnes CO2-e)","Scope 2
(tonnes CO2-e)","Scope 3
(tonnes CO2-e)","Emissions Intensity (Scope 1+2)
kg CO2-e / m2 GLA","Absolute consumption
(kilolitres (kL))","Water intensity
(kL / m2 GLA)",Total Landfill,Total Recycling,Recycling rate
Altona,Altona Gate,4,5,5,5858.703716919561,222.48608079321156,16.112238448571425,1015.8796049724482,2814.8340490890355,56.77508874408158,11371,0.43181723243547043,210.33,250.50000000000003,0.5435844020571577
Armidale Central,Armidale Central,3,0,6,4033.34532,273.5918194028028,0,738.7979456277002,513.478556,60.03820481339284,3156,0.21407930973667427,63.2,74.82,0.5420953485002173
Bankstown Central,Bankstown Central,4,4.5,3,22111.897392,280.71328052161726,0,4050.29152503612,2272.9290404,61.6009698922438,82828,1.0515117353726782,823.66,963.7699999999999,0.5391931432279865
Bayside,Bayside ,4,5.5,5,20848.99506490534,232.32433667263578,153.83475142613253,3272.1297131760293,7094.255049346285,54.796365583876835,36579,0.40760678798630284,630.87,698.1999999999999,0.5253297418495639
Box Hill Central (North Precinct),Box Hill Central (North Precinct),3,2,0,7923.814985263731,541.2996540126198,24.208296491440045,1365.3723283703996,1884.9199517810548,137.4422379677864,14276,0.9752365337978626,295.32,164.46,0.35769280960459354
Box Hill Central (South Precinct),Box Hill Central (South Precinct),3,Exempt,Exempt,14707.322521084414,582.108579296926,256.2121081230482,1783.2257755146995,1374.5213423454247,112.89154056554403,53946,2.135156101576847,822.27,844.29,0.5066064228110599
Broadmeadows,Broadmeadows Central,4,5.5,5.5,10995.384168,179.64699525369448,0,2014.05200651298,5724.840054970002,47.90586540098519,25885,0.422919508867667,483.56,453.45,0.48393293561434775
Buranda Village,Buranda Village,4,3,4,3855.9228480000006,333.9560069979734,80,706.29902787528,298.38076159999997,81.14113249380748,13313,1.1530200412256846,128.21,79.60000000000001,0.3830422020114528
Carlingford Court,Carlingford Court,3,4,4,9136.540872,274.3870764610487,0,1673.5630328764196,2558.6274713999996,60.21271955673013,48502,1.4566040002402547,400.01,409.18999999999994,0.505672268907563
Castle Plaza,Castle Plaza ,3,5.5,3.5,2291.064479999999,100.26189367549492,0,419.6600084628,2261.540426,9.747684107339786,19375,0.8478915399023229,129.88,168.32999999999998,0.5644679923543812
Chadstone,Chadstone,4,5.5,3,53483.652561999974,248.43128107559488,213.62771745650002,9037.35683919432,27438.348448823806,62.10551161437486,175456,0.8149921847964681,1889.85,2010.5700000000002,0.5154752565108374
Chatswood Chase,Chatswood Chase Sydney,4,4.5,3,18365.88528,285.406586179621,0,3364.1251214507997,5334.834266000002,62.63088974497239,57321,0.8907706150281507,447.26,864.4599999999999,0.6590278413075962
Colonnades,Colonnades,4,5.5,4,11940.317033427667,137.88929923640532,101.33120213000001,1827.1378538400304,4143.858732311093,12.369504765778816,59515,0.6872917713223278,324.18,366.17,0.5304121097993771
Cranbourne Park,Cranbourne Park,4,3,4.5,9472.983479999999,204.27931692569118,0,1735.1900664903005,5841.48421003,54.47448451351766,23729,0.5117019280740609,357.12,250.79000000000002,0.4125446200917899
DFO Brisbane,DFO Brisbane,4,4.5,5.5,8641.7136,332.1308889657558,0,1582.924284396,2626.4819199999997,73.80686421461239,13605,0.522887120950075,198.26,317.61,0.6156783685812317
DFO Essendon,DFO Essendon,4,5.5,5.5,5902.350029307782,112.61727145998395,0,1081.1482107433799,429.2877039518829,30.031272389329054,12249,0.23371181838822983,168.03,274.59999999999997,0.6203827124234688
DFO Homebush,DFO Homebush,4,5,5,9327.483323999999,330.43958281817373,0,1708.5384391653897,2612.4528413,72.51313067398814,17437,0.6177309361438313,243.08,371.95000000000005,0.6047672471261565
DFO Moorabbin,DFO Moorabbin,4,Exempt,Exempt,6346.878570000001,258.7383895703647,190.11320363610002,486.7826039370001,2302.1685126539,36.639977971394345,11000,0.44842866519092894,142.5,236.78,0.6242881248681713
DFO South Wharf,DFO South Wharf,3,4,4.5,19921.79038142857,356.7342833710611,66.55100376009999,3412.556833752901,6173.267692078469,90.15377220613493,37671,0.6745647319629904,322.23,405.18,0.5570173629727388
DFO Perth,DFO Perth,3,4.5,3.5,4572.376449375,192.68337334070802,20.247376264293752,765.5607447389999,1650.4680879875186,34.121344132502905,23267,0.9804888327012222,47.28,328.81,0.8742854104070833
DFO Uni Hill,DFO Uni Hill,Not Applicalbe ,0,5.5,9327.831609904679,473.691161290724,0,1708.602235565265,1519.3963445672148,126.31764301085977,4819,0,155.81,139.25,0.47193791093336945
Dianella Plaza,Dianella Plaza,4,5.5,3.5,920.1456,53.66344348150654,0,168.54536991600003,3496.24244,10.13642821317346,16465,0.96024867903841,107.75,178.09,0.6230408620207109
