COMMUNITY,Unnamed: 1,Unnamed: 2
Performance metric,Spreadsheet tab,
Supply chain numbers,Supply Chain,
Community investment by category,Investment,
Community investment by region,Investment,
Breakdown of investment by focus area,Investment,
Volunteering days and in-kind value,Investment,
